D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_058.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 17:01:57 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,40137.68,0.00,0.00,40.00,33.33,75.00,0.00,0.00,0.00
0.5329,37631.11,0.00,0.00,20.00,0.00,125.00,0.00,0.00,0.00
0.7830,40806.17,0.00,0.00,20.00,50.00,75.00,0.00,100.00,50.00
1.0330,39803.45,0.00,0.00,40.00,50.00,75.00,0.00,50.00,0.00
1.2830,38550.14,0.00,0.00,40.00,16.67,25.00,0.00,0.00,0.00
1.5330,37631.11,0.00,0.00,0.00,16.67,50.00,0.00,0.00,0.00
1.7830,37296.93,0.00,0.00,20.00,16.67,75.00,0.00,0.00,0.00
2.0330,42644.68,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
2.2830,41391.13,0.00,0.00,60.00,66.67,100.00,0.00,0.00,0.00
2.5330,43480.44,0.00,0.00,60.00,50.00,0.00,0.00,0.00,0.00
2.7830,42310.38,0.00,0.00,100.00,16.67,75.00,0.00,0.00,50.00
3.0330,41641.83,0.00,0.00,60.00,16.67,100.00,0.00,0.00,0.00
3.2830,38550.14,0.00,0.00,20.00,33.33,150.00,0.00,0.00,0.00
3.5331,39218.55,0.00,0.00,20.00,33.33,75.00,0.00,0.00,0.00
3.7831,38800.79,0.00,0.00,100.00,66.67,75.00,0.00,0.00,50.00
4.0331,39135.00,0.00,0.00,40.00,33.33,50.00,0.00,50.00,0.00
4.2831,39218.55,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
4.5331,41307.56,0.00,0.00,40.00,16.67,75.00,0.00,0.00,0.00
4.7831,43981.91,0.00,0.00,100.00,50.00,25.00,0.00,0.00,0.00
5.0331,41223.99,0.00,0.00,20.00,33.33,25.00,0.00,0.00,0.00
5.2831,38550.14,0.00,0.00,20.00,33.33,125.00,0.00,0.00,0.00
5.5331,40806.17,0.00,0.00,80.00,16.67,125.00,0.00,0.00,0.00
5.7831,41725.40,0.00,0.00,40.00,33.33,75.00,0.00,0.00,0.00
6.0331,39051.45,0.00,0.00,0.00,16.67,75.00,0.00,50.00,0.00
6.2832,43313.28,0.00,0.00,20.00,16.67,100.00,0.00,0.00,300.00
6.5332,46238.77,209534.59,0.00,360.00,183.33,650.02,7902.40,450.01,46683.98
6.7832,595232.34,11438887.70,1400.07,7081.90,800.02,1150.05,30786.41,900.03,123132.51
7.0332,1055057.86,39516084.20,0.00,10764.39,783.36,1750.12,43472.57,1100.05,168488.79
7.2832,1294311.71,59678298.68,600.01,14708.19,916.70,1275.06,44124.77,1650.10,191606.84
7.5332,1514180.54,61961614.95,600.01,15849.51,933.37,1675.11,51853.22,1650.10,210242.58
7.7832,1417660.14,50596448.35,400.01,14828.32,766.69,1625.10,43171.57,1300.07,154162.00
8.0332,1454459.02,64404755.39,0.00,14387.83,866.70,1825.13,50497.89,1350.07,186330.69
8.2832,1458001.53,87952543.37,0.00,15789.43,1050.04,1425.08,49494.05,1600.10,200845.20
8.5332,1467056.53,72453527.80,0.00,17191.18,966.70,1950.14,60992.76,1550.09,196377.49
8.7832,1634124.70,67646162.60,0.00,15949.63,1200.05,1850.13,53509.91,1950.15,167374.49
9.0333,1488242.46,67692339.08,0.00,16410.19,1100.05,2150.18,55367.66,1150.05,176950.51
9.2833,1532973.11,73132168.43,0.00,14808.30,966.70,2000.15,65414.18,1550.09,195819.13
