D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\91500#12.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 17:11:18 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2879,36712.14,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00
0.5379,42143.24,0.00,0.00,80.00,33.33,100.00,0.00,0.00,0.00
0.7879,36377.98,0.00,0.00,40.00,16.67,50.00,0.00,0.00,0.00
1.0379,38967.89,0.00,0.00,20.00,0.00,50.00,0.00,0.00,0.00
1.2879,38215.94,0.00,0.00,20.00,33.33,0.00,0.00,0.00,0.00
1.5379,41641.83,0.00,0.00,60.00,0.00,75.00,0.00,0.00,0.00
1.7879,36962.76,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
2.0379,41307.56,0.00,0.00,0.00,33.33,25.00,0.00,0.00,0.00
2.2879,40221.24,0.00,0.00,40.00,33.33,0.00,100.00,0.00,0.00
2.5380,39887.00,0.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00
2.7880,36377.98,0.00,0.00,20.00,33.33,75.00,0.00,50.00,0.00
3.0380,36879.22,0.00,0.00,20.00,50.00,75.00,0.00,0.00,0.00
3.2880,34039.10,0.00,0.00,0.00,16.67,50.00,0.00,0.00,0.00
3.5380,42310.38,0.00,0.00,40.00,16.67,50.00,0.00,0.00,0.00
3.7880,37881.74,0.00,0.00,40.00,0.00,75.00,0.00,0.00,0.00
4.0380,33955.57,0.00,0.00,0.00,16.67,125.00,0.00,0.00,0.00
4.2880,38717.24,0.00,0.00,0.00,50.00,100.00,0.00,0.00,0.00
4.5380,36628.60,0.00,0.00,20.00,50.00,75.00,0.00,0.00,0.00
4.7880,40388.36,0.00,0.00,40.00,33.33,75.00,0.00,0.00,0.00
5.0380,38717.24,0.00,0.00,80.00,33.33,100.00,0.00,0.00,0.00
5.2880,37881.74,0.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00
5.5381,39552.78,0.00,0.00,40.00,33.33,25.00,0.00,0.00,0.00
5.7881,36294.44,0.00,0.00,60.00,16.67,50.00,0.00,0.00,0.00
6.0381,37213.39,0.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00
6.2881,41307.56,0.00,0.00,20.00,16.67,25.00,0.00,0.00,0.00
6.5381,54767.80,338998.66,200.00,1020.04,316.67,850.03,4650.83,200.00,18613.36
6.7881,468206.50,12818204.10,200.00,5020.95,750.02,1375.07,12606.11,300.00,50247.28
7.0381,1095510.58,56906001.30,800.02,8842.96,916.70,1425.08,16760.80,400.01,51853.59
7.2881,1550504.21,50322008.56,200.00,9783.62,883.36,1175.05,15909.73,350.00,49494.38
7.5381,1376627.52,56366858.07,0.00,10223.96,600.01,1075.04,17611.92,350.00,54815.75
7.7881,1364375.62,71682705.01,0.00,11124.68,800.02,1450.08,20416.02,700.02,62701.40
8.0381,1327239.76,57980700.68,200.00,10564.22,966.70,1550.09,19013.90,800.02,67726.61
8.2882,1531426.51,49804103.10,0.00,10584.24,883.36,1225.06,17161.32,500.01,63706.29
8.5382,1327516.25,62436817.12,0.00,9483.40,500.01,1325.07,19464.56,300.00,62952.61
8.7882,1481166.08,57636227.50,0.00,10163.91,783.36,1600.10,20516.18,200.00,64359.50
9.0382,1497392.50,58182772.64,0.00,11324.85,850.03,1000.04,20215.71,400.01,68028.18
9.2882,1329080.14,73954690.67,0.00,12185.62,900.03,1400.07,18112.61,400.01,58431.50
9.5382,1321917.36,50030601.33,0.00,9763.61,850.03,1025.04,18162.68,600.01,58331.05
9.7882,1206924.07,53166958.46,0.00,11965.42,1000.04,1250.06,17311.52,300.00,62198.99
10.0382,1380472.43,63683639.22,0.00,10724.35,850.03,1350.07,22719.84,600.01,66771.67
10.2882,1404976.23,51100461.01,0.00,11745.22,800.02,1275.06,23972.08,550.01,76123.04
10.5382,1476120.17,60406702.87,0.00,10123.88,633.35,1350.07,17661.99,450.01,54865.96
10.7882,1342256.54,53591030.56,0.00,10243.97,916.70,1000.04,17511.79,300.00,59586.75
11.0383,1293499.53,62104984.11,0.00,11224.77,683.35,925.03,20866.73,200.00,66620.89
11.2883,1419448.67,53641932.88,0.00,9923.73,766.69,1450.08,19664.86,600.01,63907.28
11.5383,1426352.24,53656224.25,0.00,11144.70,683.35,1000.04,17661.99,400.01,59436.06
11.7883,1368574.79,48643940.20,0.00,10003.79,733.35,1175.05,21718.13,750.02,67324.52
12.0383,1201178.29,62149509.41,0.00,10083.85,1166.72,1200.05,18813.60,350.00,60993.27
12.2883,1257599.22,54332074.93,0.00,10744.37,850.03,1575.09,23020.36,500.01,67626.08
12.5383,1593861.06,63108112.79,0.00,11024.60,816.69,1675.11,19214.19,500.01,63455.05
