D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_081.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 17:34:38 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,39469.22,0.00,0.00,40.00,50.00,25.00,0.00,0.00,0.00
0.5329,40973.30,0.00,0.00,20.00,0.00,100.00,0.00,0.00,0.00
0.7829,39552.78,0.00,0.00,0.00,16.67,100.00,0.00,0.00,0.00
1.0329,41223.99,0.00,0.00,20.00,16.67,200.00,0.00,0.00,0.00
1.2830,38132.39,0.00,0.00,20.00,0.00,50.00,0.00,0.00,0.00
1.5330,39218.55,0.00,0.00,20.00,16.67,25.00,0.00,0.00,0.00
1.7830,39135.00,0.00,0.00,20.00,0.00,50.00,0.00,0.00,0.00
2.0330,38717.24,0.00,0.00,20.00,33.33,25.00,0.00,50.00,0.00
2.2830,39385.66,0.00,0.00,20.00,0.00,175.00,0.00,0.00,50.00
2.5330,43480.44,0.00,0.00,0.00,33.33,50.00,0.00,0.00,0.00
2.7830,36043.83,0.00,0.00,40.00,33.33,50.00,0.00,0.00,0.00
3.0330,35876.76,0.00,0.00,40.00,0.00,50.00,0.00,0.00,0.00
3.2830,40471.92,0.00,0.00,20.00,66.67,0.00,0.00,0.00,0.00
3.5330,38800.79,0.00,0.00,0.00,33.33,75.00,0.00,0.00,0.00
3.7830,36043.83,0.00,0.00,40.00,33.33,25.00,0.00,0.00,0.00
4.0331,37714.65,0.00,0.00,0.00,50.00,100.00,0.00,0.00,0.00
4.2831,41056.86,0.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00
4.5331,39803.45,0.00,0.00,0.00,16.67,25.00,0.00,0.00,0.00
4.7831,39135.00,0.00,0.00,20.00,0.00,50.00,0.00,0.00,0.00
5.0331,39803.45,0.00,0.00,20.00,50.00,75.00,0.00,0.00,0.00
5.2831,35041.43,0.00,0.00,80.00,33.33,25.00,0.00,0.00,0.00
5.5331,36962.76,0.00,200.00,20.00,16.67,50.00,0.00,0.00,0.00
5.7831,37129.84,0.00,0.00,20.00,33.33,25.00,0.00,0.00,0.00
6.0331,38215.94,0.00,0.00,0.00,16.67,125.00,0.00,50.00,0.00
6.2831,40973.30,0.00,0.00,60.00,16.67,25.00,0.00,0.00,0.00
6.5331,37881.74,0.00,0.00,520.01,766.69,1550.09,20365.94,550.01,56673.72
6.7832,553924.36,12170307.62,1200.05,17171.16,2050.16,3275.41,30485.71,900.03,102957.58
7.0332,1081447.43,41981999.73,200.00,29112.06,3200.39,3975.60,46733.86,750.02,114806.56
7.2832,1067522.03,43555473.50,200.00,27288.17,2900.32,4775.86,63454.50,850.03,150114.89
7.5332,1484613.55,66191005.40,200.00,36450.24,3517.14,4825.88,57928.79,1200.06,140305.82
7.7832,1209429.75,56723629.80,0.00,38114.93,3667.18,5075.98,61444.88,750.02,153504.26
8.0332,1464438.53,56040832.71,0.00,37152.19,3750.53,5000.95,59385.34,1000.04,171021.67
8.2832,1456221.64,67777973.41,0.00,39338.51,3483.79,4525.78,63655.47,1350.07,141064.00
8.5332,1595373.11,56411668.06,0.00,40060.67,3533.81,5301.07,60942.52,1300.07,159070.83
8.7832,1419915.24,63495061.50,0.00,37352.75,3467.12,4775.86,59083.97,800.02,146979.24
9.0332,1548249.10,65393308.00,0.00,36871.40,3733.86,5376.10,68680.96,1350.07,146625.24
9.2832,1601136.16,62852804.07,0.00,39278.33,3767.20,5376.10,66117.72,1300.07,166310.91
9.5333,1732260.83,66163447.55,0.00,38054.76,4250.68,5126.00,63705.72,1300.07,154364.39
9.7833,1542088.59,46383569.83,0.00,37172.25,4083.97,4875.90,62851.58,1300.07,140053.13
10.0333,1438768.30,66213438.86,0.00,36129.36,3683.85,4300.70,56723.49,1350.07,141973.86
10.2833,1400362.32,72904645.32,200.00,36309.85,3433.78,4375.73,56371.97,900.03,144400.46
10.5333,1525049.99,59246084.48,0.00,35567.84,3367.10,5100.99,61394.64,1000.04,136515.65
10.7833,1555169.95,59623866.22,0.00,33321.99,3317.08,4775.86,58581.71,1300.07,134646.24
11.0333,1491923.21,59197972.11,0.00,33301.94,3567.15,4625.81,58682.16,1000.04,146372.41
11.2833,1679157.76,70442829.31,0.00,40963.44,3483.79,3775.54,57376.35,950.03,135252.50
11.5333,1522302.39,63551486.78,0.00,31878.43,3133.71,4025.61,51301.03,1250.06,138082.13
11.7833,1670197.80,65735731.43,0.00,33602.70,3233.73,4150.65,56271.53,900.03,130605.18
12.0333,1443753.74,60588618.87,0.00,35246.98,3483.79,4400.73,60239.26,1500.09,126868.31
12.2834,1775237.51,57404946.50,0.00,33382.14,2866.98,4775.86,56924.37,1050.04,120962.21
12.5334,1415422.31,54286866.38,0.00,29953.94,3117.03,4775.86,60038.33,1000.04,124142.08
12.7834,1468188.41,63402537.72,0.00,31196.81,3050.35,4350.72,57577.23,1450.08,136667.24
13.0334,1721857.95,55306905.56,0.00,31778.19,2766.96,4750.86,51351.23,700.02,120558.47
13.2834,1469795.49,53893996.15,200.00,30715.68,2950.33,3950.59,53509.91,850.03,120659.40
13.5334,1449551.35,54909537.24,200.00,28089.84,2733.62,3825.55,50447.70,800.02,118237.22
13.7834,1376204.14,51423468.67,0.00,26646.86,2650.27,3600.49,45078.03,600.01,113343.76
14.0334,1512495.68,64654541.14,0.00,28370.44,2566.92,3525.47,47737.49,1100.05,112385.47
14.2834,1297335.80,49331235.37,200.00,27949.55,2600.26,3650.51,43623.07,800.02,105326.51
14.5334,1332510.32,60426289.45,0.00,29092.01,2333.54,3900.58,45629.95,950.03,105679.37
14.7834,1227945.83,58709275.69,0.00,27969.59,2466.90,3975.60,50949.66,700.02,108048.80
15.0335,1490212.44,53168609.65,0.00,27408.42,2550.25,3850.56,48741.21,1050.04,108452.15
15.2835,1382727.54,64243849.40,0.00,27107.80,2633.60,4175.66,45680.12,750.02,108200.05
15.5335,1354059.14,57006097.81,200.00,27408.42,2450.23,4175.66,51301.03,1250.06,111225.51
15.7835,1517567.52,57308038.51,0.00,28991.79,2716.95,3650.51,45228.55,450.01,100034.81
16.0335,1324673.60,55009406.00,0.00,23160.29,2083.50,3350.43,44225.10,750.02,101798.47
16.2835,1456843.74,51722676.36,0.00,24963.57,2666.94,3425.44,44626.47,800.02,104419.21
16.5335,1450553.62,59250468.68,0.00,25564.72,2583.59,3850.56,48741.21,650.02,106233.87
16.7835,1410281.35,58111258.87,200.00,25043.73,1950.14,3350.43,38105.77,700.02,86840.14
17.0335,1362060.03,47103205.62,0.00,24101.98,2266.86,2925.32,38306.36,550.01,89961.33
17.2835,1270179.45,50469363.37,0.00,24162.08,2283.53,3175.38,46984.76,850.03,88652.36
17.5336,1293015.67,53682814.16,0.00,22459.08,1833.46,3175.38,44827.16,850.03,90515.17
17.7836,1324431.67,40274039.07,0.00,21677.78,2183.51,3125.37,42770.25,550.01,83115.83
18.0336,1338670.83,45701512.94,0.00,23100.19,1916.81,3175.38,41666.67,700.02,85883.80
18.2836,1284660.53,52728424.17,0.00,25224.07,2333.54,2925.32,44375.62,1000.04,90666.22
18.5336,1259171.75,51316311.89,0.00,21677.78,1733.45,2875.31,43322.07,600.01,87595.20
18.7836,1324561.28,57802599.51,0.00,22699.49,2383.55,3125.37,44475.96,700.02,91673.27
19.0336,1380757.56,49791633.74,0.00,22118.51,2316.87,2600.26,34896.78,300.00,78134.97
19.2836,1087835.30,50098698.84,0.00,18873.48,2016.82,2475.23,40111.79,550.01,81706.90
19.5336,1230753.92,45166696.97,0.00,22979.98,2416.89,2925.32,39409.65,550.01,89860.64
19.7836,1199139.19,54758196.79,0.00,21777.94,1850.13,2825.30,39259.19,900.03,78839.21
20.0336,1226312.82,49765556.26,0.00,20315.62,2116.84,3250.40,37654.46,300.00,77531.35
20.2836,1217620.72,42734260.82,0.00,21116.87,1916.81,3275.41,40914.29,450.01,81405.01
20.5336,1182031.47,51119592.08,0.00,19474.35,1783.45,2900.32,36300.62,800.02,75268.06
20.7837,1194508.01,46965245.53,0.00,19193.94,1816.79,2550.25,33493.09,450.01,77179.26
21.0337,1186990.98,42685408.26,0.00,19334.14,1766.78,2800.30,43372.24,450.01,86236.12
21.2837,1424356.34,56673581.55,200.00,20576.02,2100.17,2600.26,38456.80,700.02,80801.25
21.5337,1248293.66,42960474.37,0.00,20555.99,2033.49,2950.33,33743.74,750.02,76927.77
21.7837,1076974.48,45602441.31,0.00,20736.27,2116.84,2500.24,34946.91,300.00,77430.76
22.0337,1176622.66,47322700.51,0.00,19694.68,1833.46,2500.24,31788.82,700.02,71345.96
22.2837,1083532.44,40013036.58,0.00,17391.45,1583.43,2150.18,35448.27,650.02,72954.88
22.5337,1154037.01,46987451.24,0.00,18793.36,1700.11,2500.24,35648.82,550.01,81706.90
22.7837,1218890.84,47417331.00,0.00,21457.42,1800.12,2875.31,37102.87,450.01,79291.97
23.0337,1337962.33,45975781.91,0.00,19013.68,1866.80,2650.27,35097.32,550.01,81153.44
23.2837,1084301.43,51452962.40,0.00,20315.62,1733.45,2075.16,34345.31,600.01,79493.19
23.5338,1227548.38,43024586.24,0.00,21036.74,1716.78,2925.32,36451.03,550.01,78939.83
23.7838,1296195.29,47893614.99,200.00,20576.02,1850.13,2500.24,32039.43,600.01,73809.70
24.0338,1226762.12,46140787.41,200.00,20295.58,1800.12,2325.21,34896.78,700.02,73658.85
24.2838,1182368.44,43165450.14,0.00,20255.52,1883.47,2400.22,34646.11,300.00,67224.00
24.5338,1056868.59,41744170.89,0.00,17771.95,1766.78,2325.21,34545.84,400.01,73859.99
24.7838,1186904.58,42122920.57,0.00,19133.85,1750.12,2050.16,37303.45,450.01,66570.64
25.0338,1019456.24,47464817.05,0.00,18252.61,1816.79,2350.21,31889.07,450.01,71547.06
25.2838,1052555.50,37921258.79,0.00,17071.03,1383.41,2450.23,35999.78,450.01,70239.94
25.5338,1038438.90,40827416.73,0.00,19073.77,1966.81,2125.17,35147.45,800.02,80147.20
25.7838,1257003.05,51444023.18,0.00,22018.34,1666.77,2975.34,36250.48,500.01,70189.67
26.0338,1066848.09,35067597.42,0.00,17351.39,1850.13,2450.23,36049.92,500.01,67776.87
26.2839,1149008.37,42152471.25,200.00,20295.58,1783.45,2375.21,33944.26,750.02,65666.03
26.5339,1058216.47,39451175.20,0.00,17852.06,1683.44,2425.22,32039.43,500.01,65012.75
26.7839,977559.59,35494288.66,0.00,15208.75,1483.42,2350.21,34044.52,800.02,65917.31
27.0339,1111829.18,41932976.35,0.00,17531.63,1883.47,2375.21,31337.73,550.01,61897.55
27.2839,1159972.87,43069225.41,0.00,17892.11,1766.78,2575.25,32340.18,500.01,64711.25
27.5339,1174540.36,40852127.70,0.00,18813.39,1633.43,2625.26,38607.24,600.01,65716.29
27.7839,1072170.50,35162114.03,0.00,17751.93,1650.10,2300.20,34646.11,450.01,65766.55
28.0339,1180467.58,46410956.87,0.00,17771.95,1700.11,2625.26,30385.47,500.01,61797.07
28.2839,1066130.95,39610942.43,0.00,15849.51,1416.74,1975.15,29733.97,450.01,53008.25
28.5339,1032330.23,35194454.65,0.00,16890.80,1866.80,2675.27,32290.05,500.01,60390.46
28.7839,1068560.14,44244704.54,0.00,17251.26,1650.10,1850.13,29483.40,450.01,58230.60
29.0340,1053161.91,35511199.16,0.00,17111.08,1533.42,2275.20,32841.43,500.01,64761.50
29.2840,1056505.69,42761932.55,0.00,18232.58,1716.78,2800.30,31538.21,300.00,54213.22
29.5340,1085623.39,35385537.62,0.00,15889.55,1366.74,2125.17,29934.43,450.01,60089.06
29.7840,1049049.15,35019940.55,0.00,16830.72,1333.40,2450.23,31437.97,400.01,66419.87
30.0340,1053516.16,39535727.71,0.00,17431.50,1716.78,2575.25,30134.89,500.01,59737.44


          Printed:2024-03-05 17:35:41
