D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_010.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 16:10:53 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,45319.27,0.00,0.00,60.00,83.33,125.00,0.00,0.00,0.00
0.5329,44483.41,0.00,0.00,0.00,16.67,75.00,0.00,0.00,0.00
0.7829,43647.59,0.00,0.00,40.00,16.67,150.00,0.00,0.00,0.00
1.0329,44984.92,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00
1.2829,45737.22,0.00,0.00,40.00,66.67,0.00,0.00,0.00,0.00
1.5329,46740.35,0.00,0.00,20.00,50.00,75.00,0.00,0.00,0.00
1.7829,45570.04,0.00,0.00,100.00,16.67,25.00,0.00,0.00,50.00
2.0329,42811.82,0.00,0.00,20.00,50.00,50.00,0.00,0.00,0.00
2.2829,40973.30,0.00,0.00,80.00,16.67,125.00,0.00,0.00,0.00
2.5329,44567.00,0.00,0.00,40.00,50.00,25.00,0.00,0.00,0.00
2.7830,44817.75,0.00,0.00,100.00,66.67,25.00,0.00,0.00,0.00
3.0330,43062.55,0.00,0.00,60.00,50.00,50.00,0.00,0.00,0.00
3.2830,42644.68,0.00,0.00,20.00,16.67,50.00,0.00,0.00,0.00
3.5330,49750.14,0.00,0.00,40.00,66.67,100.00,0.00,0.00,0.00
3.7830,44232.66,0.00,0.00,80.00,0.00,100.00,0.00,0.00,0.00
4.0330,43898.34,0.00,0.00,60.00,33.33,175.00,0.00,50.00,0.00
4.2830,45653.63,0.00,0.00,20.00,50.00,200.00,0.00,0.00,0.00
4.5330,45570.04,0.00,0.00,20.00,33.33,125.00,0.00,0.00,0.00
4.7830,42226.81,0.00,0.00,60.00,0.00,125.00,0.00,0.00,0.00
5.0330,45820.81,0.00,0.00,60.00,33.33,50.00,0.00,0.00,0.00
5.2831,43814.75,0.00,0.00,20.00,16.67,75.00,0.00,0.00,0.00
5.5331,48412.37,0.00,0.00,40.00,16.67,100.00,0.00,0.00,0.00
5.7831,44567.00,0.00,0.00,0.00,33.33,75.00,0.00,0.00,0.00
6.0331,40973.30,0.00,0.00,0.00,16.67,50.00,0.00,0.00,0.00
6.2831,44149.08,0.00,0.00,100.00,16.67,75.00,0.00,0.00,0.00
6.5331,64054.97,261383.70,200.00,580.01,116.67,500.01,1100.05,100.00,20115.61
6.7831,530851.56,12852988.28,600.01,3700.52,383.34,475.01,700.02,250.00,55669.38
7.0331,980162.84,39289529.03,800.02,5501.15,400.01,350.00,700.02,700.02,76475.10
7.2831,1203517.01,50950088.50,200.00,7942.39,450.01,200.00,500.01,550.01,84575.23
7.5331,1292825.59,49036411.88,0.00,7201.96,450.01,100.00,800.02,500.01,91723.63
7.7831,1533448.33,59929792.57,200.00,8142.51,666.68,100.00,950.03,650.02,96407.46
8.0331,1585315.84,72127730.19,0.00,7502.13,433.34,50.00,1000.04,1000.04,104267.99
8.2832,1559887.54,56876222.88,0.00,8682.85,466.67,150.00,700.02,450.01,100337.14
8.5332,1483326.15,57920688.33,0.00,7702.25,600.01,225.00,600.01,450.01,104520.02
8.7832,1621388.95,59939016.47,0.00,8162.52,466.67,100.00,1200.06,300.00,95450.41
9.0332,1315514.92,54821739.28,200.00,8342.63,450.01,100.00,1350.07,950.03,92730.76
9.2832,1396707.49,63622431.17,0.00,8903.00,500.01,75.00,1100.05,1150.05,106233.87
9.5332,1597515.89,56041515.97,0.00,9523.43,483.34,75.00,750.02,1100.05,91320.79
9.7832,1561053.97,50972578.90,0.00,9903.71,566.68,100.00,550.01,950.03,101546.51
10.0332,1431579.60,58002792.52,0.00,9003.07,483.34,50.00,950.03,750.02,117329.02
10.2832,1561995.76,66123135.64,0.00,9543.45,433.34,50.00,700.02,650.02,110267.38
10.5332,1595373.11,54596778.37,0.00,9323.29,583.35,50.00,1200.06,1100.05,112133.30
10.7832,1839987.65,54787121.15,0.00,9263.25,450.01,150.00,800.02,750.02,117379.47
11.0333,1524281.01,55578840.09,0.00,10203.94,583.35,200.00,1350.07,1150.05,113797.72
11.2833,1412208.13,57402042.68,0.00,9143.16,483.34,150.00,850.03,750.02,109107.62
11.5333,1407438.70,61447068.81,0.00,9663.54,533.34,100.00,900.03,650.02,115008.34
11.7833,1500736.28,65173870.05,0.00,9723.58,700.02,100.00,1050.04,900.03,112587.21
12.0333,1465008.79,52896048.80,0.00,9963.76,550.01,75.00,950.03,900.03,104671.23
12.2833,1506153.73,62123261.12,0.00,9703.56,700.02,75.00,1300.07,600.01,110973.36
12.5333,1490324.76,65381635.77,0.00,9683.55,483.34,50.00,1000.04,850.03,128585.12
12.7833,1666404.73,66504846.09,0.00,10364.06,850.03,175.00,1100.05,750.02,111023.80
13.0333,1501980.48,57240795.07,0.00,10083.85,600.01,175.00,700.02,750.02,113595.96
13.2833,1477070.60,51914670.34,0.00,8903.00,616.68,150.00,800.02,750.02,112486.34
13.5333,1503898.62,49688861.16,0.00,8522.75,533.34,125.00,1450.08,900.03,120962.21
13.7834,1536602.02,67471705.44,0.00,9843.67,566.68,75.00,900.03,650.02,103007.98
14.0334,1366155.51,60827643.40,0.00,9343.30,650.02,225.00,1650.10,600.01,126868.31
14.2834,1474288.43,76718561.27,0.00,10884.48,566.68,150.00,1050.04,1000.04,123132.51
14.5334,1595494.07,62820691.20,0.00,10203.94,533.34,150.00,900.03,550.01,107897.55
14.7834,1521300.11,67745518.91,0.00,9723.58,550.01,75.00,1000.04,900.03,109208.46
15.0334,1327300.24,55553787.49,0.00,9383.33,533.34,125.00,850.03,800.02,121971.61
15.2834,1573089.86,59786309.52,0.00,10243.97,683.35,125.00,1350.07,750.02,108653.83
15.5334,1442258.97,53228963.63,0.00,10924.52,516.68,150.00,1200.06,950.03,111628.97
15.7834,1608877.84,63584681.47,0.00,10063.83,583.35,125.00,1000.04,500.01,105225.70
16.0334,1346766.76,54111555.16,0.00,8642.83,533.34,150.00,1200.06,950.03,107242.14
16.2834,1618148.85,58518534.35,0.00,10624.27,716.69,50.00,1250.06,900.03,92730.76
16.5335,1288747.38,55730066.66,0.00,8602.80,633.35,100.00,600.01,350.00,98724.82
16.7835,1334255.66,56320681.59,0.00,8502.74,416.67,125.00,1050.04,550.01,94543.80
17.0335,1300480.86,55756713.51,0.00,9883.70,666.68,100.00,1300.07,900.03,101546.51
17.2835,1448592.28,47849943.76,0.00,8822.95,500.01,100.00,750.02,450.01,98271.39
17.5335,1272754.25,56754888.60,0.00,8482.72,300.00,75.00,850.03,750.02,98875.96
17.7835,1308559.51,53556867.93,0.00,8702.87,450.01,75.00,1100.05,1000.04,93939.42
18.0335,1272114.87,54332872.06,0.00,9003.07,700.02,75.00,750.02,750.02,101294.55
18.2835,1455815.55,58045495.80,0.00,9803.64,666.68,175.00,950.03,600.01,100236.36
18.5335,1375443.80,51338859.22,0.00,8502.74,583.35,100.00,800.02,750.02,92630.05
18.7835,1320811.40,59818251.58,0.00,8782.92,533.34,100.00,900.03,850.03,94392.70
19.0336,1256985.77,45037846.92,0.00,8042.45,433.34,75.00,1000.04,700.02,95198.57
19.2836,1339958.23,45065632.53,0.00,8122.50,450.01,175.00,750.02,700.02,90565.52
19.5336,1375746.21,50614269.85,0.00,8882.99,466.67,75.00,750.02,850.03,97213.45
19.7836,1387410.57,54803633.09,0.00,9483.40,616.68,125.00,1050.04,650.02,100488.31
20.0336,1328622.20,53435192.03,0.00,9343.30,516.68,150.00,1250.06,1000.04,94291.97
20.2836,1399515.58,54204762.20,0.00,8502.74,650.02,75.00,950.03,450.01,88551.67
20.5336,1274888.39,49583754.14,0.00,9143.16,566.68,50.00,850.03,350.00,88602.01
20.7836,1425747.42,53967787.43,0.00,8562.78,483.34,125.00,1050.04,550.01,91421.50
21.0336,1316137.02,41377662.81,0.00,8162.52,616.68,125.00,600.01,850.03,83317.11
21.2836,1279217.17,49124039.02,0.00,7982.41,383.34,200.00,750.02,450.01,83820.34
21.5336,1322591.30,52724381.59,0.00,8162.52,550.01,100.00,1100.05,800.02,86185.79
21.7836,1302174.35,49678669.31,0.00,8142.51,616.68,50.00,1100.05,400.01,87343.51
22.0337,1182593.08,50679748.22,200.00,8582.79,550.01,100.00,950.03,600.01,91874.69
22.2837,1268866.13,44721842.60,0.00,7181.95,466.67,175.00,650.02,650.02,87846.90
22.5337,1267786.10,49469650.95,0.00,9003.07,500.01,100.00,850.03,650.02,76022.45
22.7837,1054285.15,39744973.82,0.00,7241.99,416.67,75.00,1000.04,200.00,77430.76
23.0337,1139322.64,42739669.91,0.00,6401.55,433.34,50.00,700.02,550.01,86286.46
23.2837,1207477.05,47365403.80,0.00,8002.42,616.68,150.00,700.02,700.02,86940.81
23.5337,1434992.51,48595258.46,0.00,9083.12,516.68,125.00,1000.04,500.01,95803.00
23.7837,1383004.03,54918305.65,0.00,8482.72,450.01,50.00,800.02,550.01,77380.46
24.0337,1070589.33,43987972.38,0.00,7602.19,566.68,150.00,450.01,700.02,86789.81
24.2837,1190697.65,48712720.96,0.00,8402.67,700.02,100.00,600.01,500.01,80449.07
24.5337,1043528.02,36455511.17,0.00,6841.77,433.34,175.00,950.03,600.01,79795.04
24.7837,1186904.58,43202687.41,0.00,7402.07,400.01,25.00,800.02,300.00,76625.99
25.0338,1116408.65,46429632.44,0.00,7542.15,416.67,50.00,900.03,300.00,81103.13
25.2838,1220541.13,49803078.22,0.00,7201.96,416.67,100.00,500.01,400.01,78990.12
25.5338,1200996.85,46337564.16,0.00,7262.00,450.01,200.00,900.03,300.00,78839.21
25.7838,1169287.07,42951990.65,0.00,7522.14,316.67,50.00,1150.05,450.01,82511.98
26.0338,1175724.07,43846083.60,0.00,7882.35,550.01,150.00,1050.04,400.01,77682.25
26.2838,1141543.18,44170913.26,0.00,7001.86,383.34,100.00,1000.04,400.01,78034.36
26.5338,1170531.27,37860221.56,0.00,7462.11,450.01,75.00,750.02,500.01,82511.98
26.7838,1247308.67,41282804.58,0.00,7282.01,550.01,200.00,300.00,550.01,69033.48
27.0338,1191103.74,43733859.36,0.00,7262.00,550.01,75.00,950.03,550.01,79291.97
27.2838,1155765.06,38179528.26,0.00,7442.10,383.34,50.00,800.02,750.02,72854.32
27.5338,1037894.56,43106975.11,0.00,7522.14,350.00,125.00,1100.05,350.00,77933.76
27.7839,1236162.73,45916794.44,0.00,7942.39,566.68,50.00,850.03,800.02,69938.31
28.0339,1161277.55,40156291.87,0.00,6781.74,433.34,50.00,800.02,400.01,69335.08
28.2839,1058423.83,37467692.94,0.00,6721.71,350.00,100.00,800.02,350.00,75268.06
28.5339,1088958.53,44879730.89,0.00,7241.99,483.34,150.00,650.02,450.01,74966.32
28.7839,1135685.08,41512776.01,0.00,6701.70,433.34,75.00,1050.04,450.01,76072.74
29.0339,1193609.42,38095602.07,0.00,8262.58,483.34,100.00,800.02,650.02,69686.96
29.2839,1102869.36,33129380.64,0.00,6601.65,450.01,150.00,1000.04,600.01,64610.75
29.5339,1055399.74,36038727.10,0.00,7542.15,433.34,175.00,700.02,350.00,64962.50
29.7839,1010349.40,39936796.98,0.00,6161.44,283.34,75.00,600.01,650.02,64610.75
30.0339,1047551.84,42160898.03,0.00,6581.64,466.67,100.00,950.03,700.02,62500.43


          Printed:2024-03-05 16:11:32
