D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_032.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 16:34:58 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2876,43981.91,0.00,0.00,20.00,16.67,175.00,0.00,0.00,0.00
0.5376,41641.83,0.00,0.00,0.00,116.67,200.00,0.00,0.00,0.00
0.7876,40722.61,0.00,0.00,20.00,33.33,25.00,0.00,0.00,0.00
1.0376,43731.17,0.00,0.00,60.00,33.33,125.00,0.00,0.00,0.00
1.2876,39719.89,0.00,0.00,40.00,16.67,100.00,0.00,0.00,50.00
1.5377,42644.68,0.00,0.00,140.00,33.33,25.00,50.00,0.00,0.00
1.7877,35709.69,0.00,0.00,0.00,66.67,75.00,0.00,0.00,0.00
2.0377,43981.91,0.00,0.00,40.00,50.00,175.00,0.00,50.00,0.00
2.2877,41056.86,0.00,0.00,40.00,16.67,50.00,0.00,0.00,0.00
2.5377,43731.17,0.00,0.00,40.00,66.67,75.00,0.00,0.00,50.00
2.7877,40806.17,0.00,0.00,60.00,33.33,100.00,0.00,0.00,0.00
3.0377,42895.40,0.00,0.00,0.00,33.33,50.00,0.00,0.00,0.00
3.2877,41892.53,0.00,0.00,100.00,50.00,75.00,0.00,0.00,0.00
3.5377,42561.10,0.00,0.00,20.00,33.33,25.00,0.00,50.00,0.00
3.7877,44232.66,0.00,0.00,40.00,0.00,25.00,0.00,0.00,0.00
4.0377,40388.36,0.00,0.00,20.00,66.67,75.00,0.00,0.00,0.00
4.2878,44650.58,0.00,0.00,20.00,33.33,50.00,0.00,0.00,0.00
4.5378,46071.59,0.00,0.00,20.00,83.33,100.00,0.00,0.00,0.00
4.7878,42895.40,0.00,0.00,0.00,33.33,75.00,0.00,0.00,0.00
5.0378,47492.74,0.00,0.00,20.00,83.33,75.00,0.00,0.00,0.00
5.2878,44734.16,0.00,0.00,80.00,0.00,50.00,0.00,0.00,0.00
5.5378,42978.97,0.00,0.00,20.00,16.67,75.00,0.00,0.00,0.00
5.7878,41558.26,0.00,0.00,20.00,16.67,25.00,0.00,0.00,0.00
6.0378,41976.10,0.00,0.00,20.00,16.67,75.00,50.00,0.00,0.00
6.2878,38800.79,0.00,0.00,80.00,50.00,75.00,0.00,0.00,950.03
6.5378,51506.12,311887.88,0.00,1940.14,466.67,1500.09,30485.71,500.01,103108.78
6.7878,710048.50,17607431.64,800.02,18212.55,1450.08,3475.46,89305.73,1850.13,259014.16
7.0379,1284500.24,49240191.96,200.00,29853.71,2000.15,5075.98,131360.39,2600.26,329795.87
7.2879,1565901.16,50301795.67,1000.04,36871.40,2333.54,4900.91,154057.53,2500.24,372840.04
7.5379,1836790.75,71792765.61,200.00,41204.18,2350.21,6076.40,163066.42,2900.32,359007.37
7.7879,1441273.98,67951975.07,0.00,37553.32,2366.88,6251.48,146773.97,1900.14,373714.72
8.0379,1405572.40,60968051.81,0.00,34043.83,2350.21,5126.00,149100.22,3250.41,342365.80
8.2879,1465345.76,60312243.20,0.00,35026.39,2316.87,5100.99,169447.25,2900.32,411741.99
8.5379,1605084.77,65035966.90,0.00,38114.93,2133.51,5351.09,154462.29,2600.26,347705.22
8.7879,1592141.65,63400544.90,0.00,33482.40,2033.49,4875.90,148291.04,2600.26,347551.17
9.0379,1596703.71,68183882.38,0.00,37914.35,2366.88,5751.25,166459.02,2750.29,359367.14
9.2879,1583026.17,71915409.45,0.00,36229.63,2300.20,4975.94,148139.33,3050.36,393281.42
9.5379,1712284.53,74645288.23,200.00,37573.38,2733.62,4575.79,141920.52,2550.25,336207.59
9.7879,1396845.74,59083128.73,0.00,34865.97,2116.84,5126.00,138584.81,2300.20,393899.80
10.0380,1517748.97,69398933.23,0.00,38335.57,2416.89,6276.49,153450.40,2550.25,339029.74
10.2880,1391039.48,53935162.11,0.00,36069.19,2483.57,5075.98,143841.47,1800.12,350889.40
10.5380,1595018.86,68673717.55,0.00,43631.97,2883.65,4950.93,163319.57,3400.45,375927.37
10.7880,1507475.69,63949595.29,0.00,39438.81,2750.29,5226.03,145712.13,2650.27,360343.73
11.0380,1451080.68,60788811.88,0.00,42026.77,2700.28,5501.15,134037.51,1900.14,343957.13
11.2880,1640639.46,60679491.47,0.00,34484.97,2566.92,4875.90,137523.65,2250.20,344983.89
11.5380,1447952.90,66691146.29,0.00,36269.74,2166.84,5226.03,141920.52,2300.20,356848.93
11.7880,1548162.70,51079109.36,0.00,39418.75,2716.95,5701.23,142173.27,3100.37,336669.36
12.0380,1631549.90,61769677.91,0.00,37633.55,2200.18,5176.02,139999.87,2650.27,346267.48
12.2880,1486488.49,54171795.26,0.00,37432.98,2300.20,5376.10,146217.75,2150.18,348475.51
12.5380,1484708.59,70658566.32,0.00,40481.96,2433.56,4975.94,154765.86,3200.39,364507.84
12.7881,1563447.33,73099827.81,0.00,40762.82,2283.53,5751.25,149504.83,2750.29,358750.42
13.0381,1651690.36,68579257.88,0.00,40321.47,2433.56,5176.02,145611.00,3250.41,335438.01
13.2881,1520712.58,55972222.77,0.00,38295.45,2200.18,4850.89,135654.15,2650.27,332001.15
13.5381,1403516.02,56141327.78,0.00,39880.13,2416.89,5501.15,135805.73,3200.39,326206.69
13.7881,1413815.22,49073763.02,0.00,37112.08,2650.27,4925.92,129138.28,2450.23,329334.35
14.0381,1534001.30,55983553.37,0.00,33221.74,2233.52,5251.05,131208.86,2150.18,287608.11
