D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_104.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 17:59:41 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,39636.33,0.00,0.00,100.00,16.67,50.00,0.00,0.00,0.00
0.5329,36628.60,0.00,0.00,120.00,16.67,50.00,0.00,0.00,0.00
0.7829,37631.11,0.00,0.00,20.00,16.67,75.00,0.00,0.00,0.00
1.0329,35626.15,0.00,0.00,60.00,33.33,125.00,0.00,0.00,0.00
1.2829,36712.14,0.00,0.00,40.00,0.00,75.00,0.00,0.00,0.00
1.5329,38383.04,0.00,0.00,60.00,33.33,75.00,0.00,0.00,0.00
1.7829,39385.66,0.00,0.00,20.00,50.00,50.00,50.00,0.00,0.00
2.0329,37631.11,0.00,0.00,20.00,33.33,25.00,0.00,0.00,0.00
2.2830,36879.22,0.00,0.00,0.00,33.33,75.00,0.00,0.00,0.00
2.5330,34790.84,0.00,0.00,0.00,33.33,75.00,0.00,0.00,0.00
2.7830,36795.68,0.00,0.00,60.00,16.67,100.00,0.00,0.00,0.00
3.0330,38633.68,0.00,0.00,0.00,16.67,100.00,0.00,0.00,0.00
3.2830,35876.76,0.00,0.00,0.00,33.33,50.00,0.00,0.00,0.00
3.5330,40137.68,0.00,0.00,80.00,16.67,125.00,0.00,0.00,0.00
3.7830,35292.02,0.00,0.00,60.00,0.00,25.00,0.00,0.00,0.00
4.0330,36127.37,0.00,0.00,0.00,33.33,125.00,0.00,0.00,0.00
4.2830,34540.25,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00
4.5330,36294.44,0.00,0.00,0.00,16.67,50.00,0.00,0.00,0.00
4.7831,35292.02,0.00,0.00,40.00,0.00,100.00,0.00,0.00,0.00
5.0331,35041.43,0.00,0.00,40.00,16.67,50.00,0.00,0.00,0.00
5.2831,37547.56,0.00,0.00,20.00,16.67,50.00,0.00,0.00,0.00
5.5331,37129.84,0.00,0.00,100.00,16.67,75.00,0.00,0.00,0.00
