D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\GLASS#1.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 15:53:17 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,48412.37,0.00,0.00,60.00,0.00,125.00,0.00,0.00,0.00
0.5329,52927.79,0.00,0.00,40.00,33.33,75.00,0.00,0.00,0.00
0.7829,48830.41,0.00,0.00,100.00,50.00,125.00,0.00,0.00,0.00
1.0329,47158.34,0.00,0.00,60.00,33.33,75.00,50.00,0.00,0.00
1.2829,46907.54,0.00,0.00,40.00,16.67,75.00,0.00,0.00,0.00
1.5330,51757.00,0.00,0.00,60.00,83.33,100.00,0.00,0.00,0.00
1.7830,51422.50,0.00,0.00,40.00,16.67,50.00,0.00,0.00,0.00
2.0330,51255.26,0.00,0.00,100.00,50.00,50.00,0.00,0.00,50.00
2.2830,49332.07,0.00,0.00,20.00,33.33,50.00,0.00,0.00,0.00
2.5330,46991.14,0.00,0.00,40.00,33.33,125.00,0.00,50.00,0.00
2.7830,46656.75,0.00,0.00,100.00,50.00,100.00,0.00,0.00,0.00
3.0330,46991.14,0.00,0.00,40.00,16.67,125.00,0.00,0.00,0.00
3.2830,45737.22,0.00,0.00,20.00,0.00,100.00,0.00,0.00,0.00
3.5330,47659.94,0.00,0.00,0.00,33.33,25.00,0.00,0.00,0.00
3.7830,51171.64,0.00,0.00,20.00,50.00,50.00,0.00,50.00,50.00
4.0331,51506.12,0.00,0.00,60.00,50.00,50.00,50.00,0.00,0.00
4.2831,45737.22,0.00,0.00,60.00,50.00,125.00,0.00,0.00,0.00
4.5331,46322.37,0.00,0.00,20.00,33.33,100.00,0.00,0.00,0.00
4.7831,50419.06,0.00,0.00,40.00,66.67,100.00,0.00,0.00,0.00
5.0331,48412.37,0.00,0.00,20.00,66.67,75.00,0.00,0.00,0.00
5.2831,48161.56,0.00,0.00,20.00,33.33,75.00,0.00,0.00,0.00
5.5331,46656.75,0.00,0.00,40.00,100.00,150.00,0.00,0.00,0.00
5.7831,50419.06,0.00,0.00,40.00,16.67,75.00,0.00,0.00,0.00
6.0331,47994.35,0.00,200.00,20.00,0.00,150.00,0.00,50.00,0.00
6.2831,47158.34,0.00,0.00,120.00,0.00,575.01,400.01,0.00,1250.06
6.5331,288450.13,0.00,4000.58,16710.57,17061.02,31487.54,6101.43,100.00,7402.11
6.7831,1322377.69,2500.22,13006.14,14007.43,12155.60,24197.18,13707.22,50.00,13657.20
7.0331,1661868.59,1500.08,22818.89,11765.24,8619.48,19864.95,15609.37,100.00,18312.94
7.2832,1934391.19,4000.56,25022.72,8122.50,7302.02,16360.14,15459.19,50.00,17662.03
7.5332,2049505.44,3500.43,21817.27,7442.10,6251.48,17711.89,20766.58,50.00,18763.58
7.7832,2570608.47,6001.27,23419.90,6621.66,5351.08,14583.06,16860.93,200.00,18763.58
8.0332,2227304.82,4000.56,29231.00,5120.99,5050.97,12380.81,19214.19,0.00,19564.77
8.2832,2259783.57,2500.22,26826.11,5441.12,4534.11,11104.67,17762.13,150.00,18563.29
8.5332,2218802.79,5501.07,27026.50,5141.00,4934.26,10829.44,19214.19,50.00,16360.33
8.7832,1870159.46,3000.32,29832.29,4960.93,4217.34,10829.44,18312.89,50.00,19064.02
9.0332,2057238.48,2000.14,29631.85,5241.04,4767.53,9953.76,17061.19,0.00,17561.90
9.2832,2065014.72,2500.22,22818.89,3820.55,4100.64,9253.24,15909.73,50.00,16660.71
9.5332,1900815.12,4500.71,28228.91,4720.84,4217.34,9028.09,17311.52,0.00,16260.20
9.7832,2276519.77,2500.22,24421.64,4660.82,4517.44,10704.34,15208.89,50.00,16810.90
10.0333,2341650.08,3000.32,26024.57,4940.92,4117.31,9478.40,14608.20,50.00,14808.46
10.2833,1974646.18,2000.14,20415.13,4260.69,4133.98,8852.97,15409.13,50.00,17011.16
10.5333,1711653.80,2500.22,23019.23,4100.64,4100.64,9728.59,14157.71,50.00,18012.52
10.7833,1769448.53,1000.04,25623.83,4040.62,3683.85,9503.42,15409.13,50.00,15659.46
11.0333,1844420.11,3000.32,18212.04,4380.73,3400.44,8327.63,14157.71,50.00,14357.95
11.2833,1874159.90,3000.32,20415.13,4680.83,4450.75,10879.49,16710.73,150.00,16911.03
11.5333,1855583.33,1500.08,27627.69,4520.77,3517.14,7577.18,12706.21,0.00,13156.68
11.7833,1718928.90,1500.08,20014.54,4000.61,3617.16,8302.61,12956.45,0.00,11905.47
12.0333,1732874.29,1000.04,20615.42,3380.43,3417.11,8152.52,14007.54,0.00,14608.23
12.2833,1714297.72,1500.08,22618.57,4200.67,3867.23,7977.41,16009.85,50.00,13256.78
