D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_138.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 18:32:14 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,34707.31,0.00,0.00,0.00,50.00,25.00,0.00,0.00,0.00
0.5329,33370.91,0.00,0.00,40.00,50.00,25.00,0.00,0.00,0.00
0.7829,34456.73,0.00,0.00,20.00,33.33,75.00,0.00,0.00,0.00
1.0329,35709.69,0.00,0.00,20.00,16.67,0.00,0.00,0.00,0.00
1.2830,38717.24,0.00,0.00,20.00,16.67,150.00,0.00,0.00,0.00
1.5330,36712.14,0.00,0.00,80.00,16.67,100.00,0.00,0.00,0.00
1.7830,37881.74,0.00,0.00,60.00,33.33,25.00,0.00,0.00,0.00
2.0330,36795.68,0.00,0.00,20.00,33.33,25.00,0.00,0.00,0.00
2.2830,33955.57,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00
2.5330,35459.09,0.00,0.00,60.00,33.33,0.00,0.00,0.00,0.00
2.7830,33454.43,0.00,0.00,20.00,16.67,50.00,50.00,0.00,0.00
3.0330,36712.14,0.00,0.00,20.00,16.67,75.00,0.00,0.00,0.00
3.2830,34957.90,0.00,200.00,20.00,33.33,150.00,0.00,0.00,50.00
3.5330,34540.25,0.00,0.00,20.00,33.33,50.00,0.00,0.00,0.00
3.7830,33370.91,0.00,0.00,0.00,50.00,100.00,0.00,0.00,0.00
4.0331,32285.17,0.00,0.00,20.00,16.67,75.00,0.00,0.00,0.00
4.2831,34707.31,0.00,0.00,20.00,50.00,25.00,0.00,0.00,0.00
4.5331,36127.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.7831,36377.98,0.00,0.00,40.00,33.33,50.00,0.00,0.00,0.00
5.0331,35292.02,0.00,0.00,60.00,33.33,100.00,0.00,0.00,0.00
5.2831,35709.69,0.00,0.00,60.00,16.67,0.00,0.00,0.00,0.00
5.5331,33872.04,0.00,0.00,20.00,50.00,75.00,0.00,0.00,0.00
5.7831,34039.10,0.00,0.00,40.00,50.00,0.00,0.00,0.00,0.00
6.0331,35626.15,0.00,0.00,0.00,16.67,75.00,0.00,0.00,0.00
