D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\STDCZ#27.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 18:51:24 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2830,35960.30,1000.04,0.00,0.00,0.00,25.00,0.00,0.00,50.00
0.5330,35292.02,0.00,0.00,60.00,0.00,50.00,0.00,0.00,0.00
0.7830,37380.48,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00
1.0330,33287.39,0.00,0.00,60.00,16.67,100.00,0.00,0.00,0.00
1.2830,36879.22,0.00,0.00,80.00,50.00,25.00,0.00,0.00,0.00
1.5330,36712.14,0.00,0.00,40.00,33.33,125.00,0.00,0.00,0.00
1.7830,35709.69,0.00,0.00,20.00,16.67,50.00,0.00,0.00,0.00
2.0331,32285.17,0.00,0.00,0.00,16.67,125.00,0.00,0.00,0.00
2.2831,34373.20,0.00,0.00,20.00,33.33,75.00,0.00,0.00,0.00
2.5331,36210.91,0.00,0.00,40.00,16.67,25.00,0.00,0.00,0.00
2.7831,35208.49,0.00,0.00,20.00,50.00,50.00,0.00,0.00,0.00
3.0331,33036.83,0.00,0.00,20.00,33.33,25.00,0.00,0.00,0.00
3.2831,36461.52,0.00,0.00,0.00,33.33,25.00,0.00,0.00,0.00
3.5331,31366.53,0.00,0.00,40.00,33.33,25.00,0.00,0.00,0.00
3.7831,35542.62,0.00,0.00,20.00,16.67,100.00,0.00,0.00,0.00
4.0331,34540.25,0.00,0.00,40.00,33.33,75.00,0.00,0.00,50.00
4.2831,35208.49,0.00,0.00,40.00,50.00,75.00,0.00,0.00,0.00
4.5331,36210.91,0.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00
4.7832,36377.98,0.00,0.00,100.00,0.00,25.00,0.00,0.00,0.00
5.0332,34957.90,0.00,0.00,20.00,0.00,75.00,0.00,0.00,0.00
5.2832,35960.30,0.00,0.00,0.00,16.67,100.00,0.00,0.00,0.00
5.5332,36294.44,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00
5.7832,34790.84,0.00,0.00,80.00,0.00,25.00,0.00,0.00,0.00
6.0332,35041.43,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00
6.2832,34373.20,0.00,0.00,80.00,33.33,50.00,0.00,0.00,0.00
6.5332,36545.06,0.00,0.00,60.00,33.33,150.00,1000.04,250.00,45580.06
6.7832,302646.08,7686848.14,200.00,8142.51,700.02,700.02,10604.32,1100.05,140154.20
