D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_099.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 17:47:56 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2831,36377.98,0.00,0.00,0.00,33.33,25.00,0.00,0.00,0.00
0.5331,38884.34,0.00,0.00,40.00,50.00,175.00,0.00,0.00,0.00
0.7831,36795.68,0.00,0.00,40.00,0.00,75.00,0.00,0.00,0.00
1.0331,41391.13,0.00,0.00,40.00,50.00,50.00,0.00,0.00,0.00
1.2831,39636.33,0.00,0.00,0.00,16.67,75.00,0.00,0.00,0.00
1.5332,38550.14,0.00,0.00,60.00,16.67,75.00,0.00,0.00,0.00
1.7832,37547.56,500.01,0.00,20.00,16.67,50.00,0.00,0.00,0.00
2.0332,39469.22,0.00,0.00,60.00,16.67,150.00,0.00,0.00,0.00
2.2832,37881.74,0.00,0.00,20.00,0.00,75.00,0.00,0.00,0.00
2.5332,35709.69,0.00,0.00,60.00,50.00,75.00,0.00,0.00,0.00
2.7832,38884.34,0.00,0.00,20.00,0.00,50.00,0.00,0.00,50.00
3.0332,36294.44,0.00,0.00,60.00,0.00,150.00,0.00,0.00,50.00
3.2832,39135.00,0.00,0.00,20.00,66.67,25.00,0.00,0.00,0.00
3.5332,39135.00,0.00,0.00,40.00,33.33,25.00,0.00,0.00,0.00
3.7832,39469.22,0.00,0.00,60.00,33.33,25.00,0.00,0.00,0.00
4.0332,38215.94,0.00,0.00,20.00,33.33,125.00,0.00,0.00,0.00
4.2833,36879.22,0.00,0.00,60.00,0.00,100.00,0.00,50.00,0.00
4.5333,37046.30,0.00,0.00,60.00,83.33,25.00,0.00,50.00,0.00
4.7833,36795.68,0.00,0.00,40.00,33.33,75.00,0.00,0.00,0.00
5.0333,38299.48,0.00,0.00,20.00,33.33,75.00,0.00,0.00,0.00
5.2833,39135.00,0.00,0.00,20.00,16.67,50.00,0.00,0.00,0.00
5.5333,37129.84,0.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00
5.7833,39636.33,21015.54,0.00,20.00,33.33,75.00,0.00,0.00,0.00
6.0333,42143.24,0.00,0.00,40.00,16.67,125.00,0.00,0.00,0.00
6.2833,36294.44,0.00,0.00,20.00,83.33,25.00,200.00,50.00,1650.11
6.5333,260946.74,3877237.06,200.00,1360.07,433.34,700.02,9603.55,150.00,21768.28
6.7833,784063.88,31466286.91,200.00,3020.35,233.34,825.03,12455.96,200.00,31638.60
7.0334,1241196.04,49902776.16,600.01,3160.38,316.67,650.02,13206.70,250.00,34546.01
7.2834,1095723.86,52301846.80,0.00,3240.40,333.34,750.02,19564.71,500.01,37754.94
7.5334,1158383.06,44784132.46,0.00,3940.59,283.34,700.02,16961.06,450.01,45078.31
7.7834,1228248.24,68372972.54,200.00,4140.65,333.34,650.02,19714.94,150.00,38507.16
8.0334,1571275.41,68603399.47,0.00,4420.74,266.67,650.02,19013.90,350.00,37454.07
8.2834,1522414.71,56805790.92,0.00,4060.62,166.67,725.02,22269.06,550.01,51502.19
8.5334,1699350.06,68290185.10,0.00,4340.71,300.00,650.02,17611.92,150.00,37403.93
8.7834,1301725.06,51904990.93,0.00,3600.49,333.34,825.03,20716.49,350.00,43272.16
9.0334,1510603.47,48875448.95,0.00,4780.87,283.34,725.02,21317.47,200.00,45028.13
9.2834,1515035.92,61546425.12,0.00,4880.90,266.67,675.02,18563.24,250.00,43673.51
9.5335,1329797.28,68443119.80,0.00,4820.88,316.67,900.03,20616.34,500.01,43773.84
9.7835,1357921.34,56293237.61,0.00,4360.72,333.34,575.01,17962.40,400.01,41315.79
10.0335,1459945.59,62231385.84,0.00,4660.82,183.33,725.02,21718.13,250.00,44977.96
10.2835,1564190.39,65572889.56,0.00,4040.62,266.67,825.03,20416.02,500.01,42419.35
10.5335,1388827.57,56436379.02,0.00,4140.65,250.00,900.03,19714.94,300.00,47587.26
10.7835,1592737.83,60915156.67,0.00,4220.67,283.34,800.02,19013.90,250.00,44125.03
11.0335,1429903.39,62352321.55,0.00,3960.59,266.67,825.03,17912.33,450.01,41165.31
11.2835,1282353.58,49866051.33,0.00,4440.75,266.67,875.03,23471.17,300.00,40362.79
11.5335,1409054.43,63518633.72,0.00,4080.63,266.67,825.03,21768.21,300.00,44727.09
11.7835,1577902.49,71686007.40,0.00,4980.94,383.34,725.02,20666.42,300.00,40613.57
12.0335,1298692.33,55321994.05,0.00,3780.54,350.00,825.03,22369.23,300.00,47135.61
12.2835,1551662.01,77457043.44,0.00,5100.99,333.34,575.01,17511.79,100.00,38256.41
12.5335,1309276.65,49274582.34,0.00,4640.82,433.34,550.01,20916.82,150.00,41867.56
12.7836,1435761.49,46578695.38,0.00,4140.65,283.34,875.03,17561.85,450.01,44526.40
13.0336,1361118.24,55543424.83,0.00,4220.67,333.34,775.02,18813.60,350.00,35949.82
13.2836,1263552.37,60795245.84,0.00,3820.55,233.34,650.02,18913.75,150.00,45228.83
13.5336,1479757.72,58544384.07,0.00,4540.78,300.00,875.03,18713.46,350.00,47085.43
13.7836,1534260.51,57374883.39,0.00,4580.79,266.67,900.03,20566.26,400.01,42670.17
14.0336,1422464.12,49391930.97,0.00,4760.86,250.00,875.03,19013.90,150.00,42670.17
14.2836,1372246.90,59079256.97,0.00,4200.67,316.67,700.02,20516.18,450.01,40061.86
14.5336,1397104.94,54325811.78,0.00,3880.57,233.34,800.02,20516.18,350.00,48590.97
14.7836,1484864.12,54845140.69,0.00,4540.78,200.00,925.03,19013.90,150.00,41616.75
15.0336,1418895.69,42910596.93,0.00,3560.48,166.67,625.01,19965.32,450.01,39359.71
15.2836,1294268.51,51469645.15,0.00,4320.71,300.00,525.01,18963.82,100.00,36401.08
15.5337,1284608.69,54330879.24,0.00,3860.56,300.00,600.01,18913.75,450.01,41566.59
15.7837,1397338.23,49831205.45,0.00,4020.61,233.34,1050.04,20716.49,150.00,40663.73
16.0337,1474184.75,64989733.48,0.00,4640.82,233.34,725.02,17661.99,100.00,38657.60
16.2837,1407300.46,58588795.49,0.00,4540.78,300.00,700.02,21567.88,250.00,40262.48
16.5337,1368764.87,53691354.82,0.00,4220.67,200.00,650.02,18413.03,350.00,39861.24
16.7837,1333529.87,55656218.44,0.00,4000.61,283.34,625.01,17962.40,250.00,36952.64
17.0337,1283217.61,51315856.38,0.00,3400.44,266.67,650.02,18813.60,350.00,30636.19
17.2837,1258973.03,55327687.83,0.00,3920.58,350.00,800.02,21317.47,50.00,36100.24
17.5337,1214268.29,49677131.99,0.00,3820.55,266.67,600.01,18112.61,250.00,34997.22
17.7837,1394426.46,50126769.13,200.00,3880.57,283.34,850.03,17812.20,50.00,32390.45
18.0337,1190663.09,43114433.95,0.00,3480.46,233.34,425.01,15158.83,250.00,31538.35
18.2838,1182273.39,45721611.95,0.00,3620.50,250.00,750.02,20215.71,100.00,39159.11
18.5338,1429825.63,54464398.18,0.00,4240.68,266.67,700.02,19614.79,200.00,33593.51
18.7838,1342550.31,50895086.67,0.00,3300.41,233.34,525.01,14608.20,0.00,35197.76
19.0338,1158659.55,49838094.91,0.00,3780.54,266.67,875.03,17962.40,250.00,37103.06
19.2838,1367935.41,51550496.71,0.00,3720.52,266.67,625.01,17762.13,150.00,30886.78
