D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_080.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 17:26:05 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2830,37714.65,0.00,0.00,0.00,50.00,75.00,0.00,0.00,0.00
0.5330,40054.12,0.00,0.00,20.00,0.00,75.00,0.00,0.00,0.00
0.7830,39302.11,0.00,0.00,40.00,50.00,175.00,0.00,0.00,50.00
1.0330,38299.48,0.00,0.00,40.00,0.00,25.00,0.00,0.00,0.00
1.2830,39051.45,0.00,0.00,40.00,16.67,50.00,0.00,0.00,50.00
1.5330,37547.56,0.00,0.00,60.00,0.00,75.00,50.00,0.00,0.00
1.7830,40054.12,0.00,0.00,0.00,16.67,125.00,0.00,0.00,50.00
2.0330,37129.84,0.00,0.00,60.00,16.67,0.00,0.00,0.00,0.00
2.2830,34540.25,0.00,0.00,40.00,66.67,50.00,0.00,0.00,0.00
2.5330,40471.92,0.00,0.00,60.00,16.67,25.00,0.00,50.00,0.00
2.7831,35876.76,0.00,0.00,80.00,33.33,100.00,0.00,0.00,0.00
3.0331,40137.68,0.00,0.00,20.00,50.00,25.00,0.00,0.00,0.00
3.2831,39636.33,0.00,0.00,80.00,66.67,50.00,0.00,50.00,0.00
3.5331,39636.33,0.00,0.00,20.00,50.00,50.00,0.00,0.00,0.00
3.7831,37464.02,0.00,0.00,60.00,33.33,75.00,50.00,0.00,0.00
4.0331,41558.26,0.00,0.00,40.00,50.00,75.00,0.00,50.00,0.00
4.2831,39218.55,0.00,0.00,40.00,0.00,125.00,0.00,0.00,0.00
4.5331,37714.65,0.00,0.00,20.00,33.33,75.00,0.00,0.00,0.00
4.7831,38884.34,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
5.0331,37380.48,0.00,0.00,40.00,0.00,50.00,0.00,0.00,0.00
5.2831,36879.22,0.00,0.00,60.00,16.67,125.00,0.00,0.00,0.00
5.5332,36712.14,0.00,0.00,20.00,33.33,50.00,0.00,0.00,50.00
5.7832,40304.80,0.00,0.00,80.00,16.67,50.00,0.00,0.00,0.00
6.0332,36294.44,0.00,0.00,40.00,16.67,50.00,0.00,0.00,0.00
6.2832,38299.48,0.00,0.00,0.00,16.67,25.00,0.00,0.00,0.00
6.5332,40471.92,51593.56,0.00,60.00,150.00,650.02,6251.50,0.00,5201.04
6.7832,582490.15,14945809.57,1000.04,1660.10,450.01,1725.11,22469.40,150.00,12455.99
7.0332,1214802.00,44664620.20,1200.05,2460.23,250.00,1550.09,25374.74,50.00,14257.84
7.2832,1273428.19,48183598.77,200.00,2020.15,300.00,1550.09,24372.83,150.00,13456.99
7.5332,1338722.67,57324949.01,0.00,2960.33,366.67,1950.14,32340.18,100.00,14708.35
7.7832,1405788.41,63655796.67,0.00,2720.28,400.01,1825.13,36400.90,150.00,20015.45
8.0332,1431761.05,55914430.98,600.01,2900.32,283.34,2200.18,38707.54,50.00,15609.40
8.2833,1428063.01,69071085.87,200.00,3240.40,300.00,2300.20,45328.90,250.00,19013.95
8.5333,1640051.92,65906202.95,0.00,3520.47,216.67,2575.25,35247.72,100.00,18663.44
8.7833,1583579.15,67785773.88,200.00,3200.39,233.34,2400.22,34946.91,150.00,17411.70
9.0333,1491491.20,66058796.02,0.00,3320.42,200.00,1950.14,32741.18,150.00,17311.56
9.2833,1441766.47,57918410.82,0.00,2800.30,283.34,2400.22,36400.90,100.00,17962.45
9.5333,1543401.91,68643426.69,0.00,3000.34,383.34,2050.16,32691.06,150.00,16660.71
9.7833,1536748.91,56067707.32,0.00,2980.34,266.67,1825.13,32290.05,100.00,16059.95
10.0333,1630815.47,73236763.02,200.00,2900.32,166.67,2225.19,28180.51,50.00,15859.70
10.2833,1303461.75,56820196.16,0.00,2540.24,200.00,2100.17,33041.94,100.00,16810.90
10.5333,1580313.13,62988600.52,0.00,2560.25,166.67,1550.09,29232.83,200.00,14057.62
10.7833,1391834.38,56835398.53,0.00,2560.25,166.67,2175.18,28581.39,50.00,14608.23
11.0334,1400656.09,63394965.00,0.00,2360.21,183.33,1950.14,30686.18,200.00,18413.08
11.2834,1425661.02,61725778.93,200.00,3460.45,233.34,1525.09,29934.43,100.00,16310.26
11.5334,1423829.28,62190447.63,0.00,3120.37,233.34,1850.13,26927.86,250.00,16560.58
11.7834,1446043.41,60150824.78,0.00,2920.32,183.33,1725.11,33292.58,250.00,15959.83
12.0334,1488812.72,65243220.19,200.00,2620.26,316.67,1800.12,29032.39,0.00,16560.58
12.2834,1461232.99,54361511.73,0.00,2840.31,250.00,2500.24,32239.93,100.00,15208.92
12.5334,1498593.50,56303429.46,200.00,2680.27,200.00,2050.16,26426.84,150.00,14658.29
12.7834,1328293.87,56353022.21,0.00,2740.28,266.67,1550.09,30385.47,200.00,17011.16
13.0334,1541310.97,63493638.06,0.00,3320.42,250.00,2075.16,29884.31,50.00,14658.29
13.2834,1412389.57,56615220.39,0.00,2620.26,233.34,1925.14,27879.86,150.00,14057.62
