D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\GJ1#2.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 15:59:51 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2827,44483.41,0.00,0.00,40.00,33.33,150.00,0.00,0.00,0.00
0.5327,43313.28,0.00,0.00,60.00,16.67,75.00,0.00,0.00,50.00
0.7827,46573.16,0.00,0.00,0.00,33.33,200.00,0.00,0.00,0.00
1.0328,48579.59,0.00,0.00,40.00,50.00,25.00,0.00,0.00,0.00
1.2828,45152.09,0.00,200.00,40.00,83.33,50.00,0.00,0.00,0.00
1.5328,46071.59,0.00,0.00,0.00,16.67,50.00,50.00,0.00,0.00
1.7828,45486.45,0.00,0.00,40.00,0.00,50.00,0.00,0.00,50.00
2.0328,42393.96,0.00,0.00,20.00,16.67,150.00,0.00,0.00,0.00
2.2828,46907.54,0.00,0.00,20.00,16.67,150.00,0.00,0.00,100.00
2.5328,49666.52,0.00,0.00,20.00,66.67,50.00,0.00,0.00,0.00
2.7828,48245.17,0.00,0.00,80.00,66.67,75.00,0.00,50.00,50.00
3.0328,47325.54,0.00,0.00,20.00,50.00,75.00,50.00,0.00,0.00
3.2828,49332.07,0.00,0.00,40.00,50.00,25.00,0.00,0.00,0.00
3.5328,47576.34,0.00,0.00,20.00,33.33,150.00,0.00,0.00,0.00
3.7828,47910.75,0.00,0.00,40.00,66.67,75.00,0.00,0.00,0.00
4.0329,47241.94,0.00,0.00,100.00,33.33,25.00,0.00,0.00,0.00
4.2829,45737.22,0.00,0.00,40.00,66.67,100.00,0.00,0.00,0.00
4.5329,44232.66,0.00,0.00,100.00,33.33,25.00,0.00,0.00,0.00
4.7829,47743.54,0.00,0.00,40.00,0.00,75.00,0.00,0.00,0.00
5.0329,44065.50,0.00,0.00,80.00,100.00,75.00,0.00,0.00,0.00
5.2829,47074.74,0.00,0.00,40.00,33.33,125.00,0.00,0.00,0.00
5.5329,51757.00,0.00,0.00,60.00,16.67,125.00,0.00,0.00,0.00
5.7829,48830.41,0.00,0.00,80.00,16.67,25.00,0.00,0.00,0.00
6.0329,45820.81,0.00,0.00,20.00,50.00,100.00,0.00,0.00,0.00
6.2829,49332.07,0.00,0.00,40.00,66.67,50.00,0.00,0.00,0.00
6.5329,49582.91,1500.08,0.00,200.00,316.67,675.02,1550.09,350.00,82612.62
6.7830,588556.52,17631062.50,600.01,11765.24,1016.71,950.03,3050.36,800.02,143743.21
7.0330,962651.12,41239133.35,200.00,16510.31,1450.08,700.02,5050.98,2500.24,220918.09
7.2830,1317285.56,55407799.19,400.01,19975.10,1283.40,525.01,4250.70,1800.12,195920.64
7.5330,1290345.83,53258514.30,200.00,17972.22,1050.04,700.02,4450.76,1800.12,241684.01
7.7830,1591407.23,51744255.76,200.00,23440.79,1516.75,425.01,4750.87,1550.09,258504.13
8.0330,1568061.23,54036112.68,200.00,23180.33,1416.74,375.01,4650.83,2050.16,251263.72
8.2830,1719369.55,55570470.24,13606.72,22058.41,1516.75,225.00,5501.16,2350.21,259218.19
8.5330,1467903.28,60278308.32,0.00,26406.38,1383.41,300.00,4950.94,1200.06,251467.63
8.7830,1808260.60,69136507.30,0.00,23440.79,1716.78,150.00,5851.32,2300.20,234758.37
9.0330,1231816.67,52624114.28,0.00,22178.61,1333.40,275.00,4700.85,2250.20,251059.81
9.2830,1537371.01,72490423.44,0.00,22358.91,1150.05,275.00,4600.81,1350.07,242448.07
9.5331,1407516.46,44752475.09,0.00,20235.49,1166.72,200.00,3950.60,1350.07,230431.69
9.7831,1805694.44,51254135.90,0.00,25163.95,1466.75,300.00,5701.25,1700.11,249938.45
10.0331,1442336.73,49523229.35,0.00,24362.45,1483.42,175.00,4700.85,2050.16,252487.18
10.2831,1468326.65,54131084.79,0.00,20716.24,1266.73,225.00,5501.16,1750.12,272282.15
10.5331,2029295.86,51975707.57,0.00,25384.38,1200.05,225.00,4650.83,2150.18,225241.58
10.7831,1869105.35,53274229.11,0.00,20856.46,1316.73,225.00,4850.90,2100.17,227989.04
11.0331,1658231.04,50518500.61,0.00,25324.26,1166.72,350.00,4950.94,2250.20,235929.35
11.2831,1706849.81,44448256.88,0.00,24282.30,1583.43,200.00,4700.85,2000.15,230380.81
11.5331,1517299.67,57101183.79,0.00,21878.11,1233.39,350.00,5000.96,1700.11,231653.20
11.7831,1579665.11,65091253.42,0.00,23721.29,1500.09,400.01,5601.21,1450.08,244282.06
12.0331,1320344.83,53755808.31,0.00,21797.98,1366.74,225.00,5000.96,1500.09,244689.65
12.2832,1486868.66,59428285.17,0.00,21938.21,1283.40,400.01,4150.66,1800.12,227480.20
12.5332,1530493.36,55743333.15,0.00,23841.50,1516.75,300.00,4800.89,2000.15,254475.54
12.7832,1435320.84,55579978.84,0.00,23841.50,1533.42,350.00,4650.83,2150.18,224987.23
13.0332,1492597.15,48721489.37,0.00,21237.06,1500.09,675.02,5151.02,2300.20,236693.09
13.2832,1568700.61,59684049.38,0.00,22799.67,1550.09,325.00,5000.96,1600.10,237864.26
13.5332,1730601.90,76713095.24,0.00,22178.61,1233.39,225.00,5101.00,2500.24,258249.12
13.7832,1501712.63,56983151.91,0.00,23240.43,1333.40,300.00,4950.94,1450.08,242600.90
14.0332,1678941.75,54406663.34,0.00,20956.62,1133.38,100.00,4950.94,1350.07,213241.02
14.2832,1308637.27,48797387.35,0.00,20856.46,1183.39,325.00,4650.83,1700.11,240105.03
14.5332,1651889.08,66285294.26,0.00,23641.15,1333.40,250.00,4300.71,1350.07,240054.10
14.7832,1420701.51,47396264.04,0.00,22258.75,1066.71,200.00,4400.74,2150.18,227887.26
15.0333,1435821.97,60360469.45,0.00,23601.07,1383.41,250.00,6301.53,2050.16,250091.36
15.2833,1510638.03,61228598.80,0.00,21557.58,1350.07,200.00,3850.57,900.03,194448.71
