D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_054.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 16:59:05 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2830,38215.94,0.00,0.00,60.00,16.67,25.00,0.00,0.00,0.00
0.5330,38633.68,0.00,0.00,40.00,33.33,75.00,0.00,0.00,0.00
0.7830,39385.66,0.00,0.00,60.00,33.33,100.00,0.00,0.00,0.00
1.0330,41140.43,0.00,0.00,60.00,16.67,25.00,0.00,0.00,0.00
1.2830,40388.36,0.00,0.00,20.00,33.33,50.00,0.00,0.00,0.00
1.5330,41641.83,0.00,0.00,20.00,83.33,50.00,0.00,0.00,0.00
1.7830,40054.12,0.00,0.00,40.00,33.33,25.00,0.00,0.00,0.00
2.0330,40471.92,0.00,0.00,20.00,66.67,25.00,0.00,0.00,50.00
2.2830,40471.92,0.00,0.00,40.00,50.00,50.00,0.00,0.00,0.00
2.5330,42644.68,0.00,0.00,60.00,16.67,75.00,0.00,0.00,0.00
2.7830,39552.78,0.00,0.00,40.00,33.33,100.00,0.00,0.00,0.00
3.0331,41725.40,0.00,0.00,40.00,0.00,50.00,0.00,0.00,0.00
3.2831,43062.55,0.00,0.00,80.00,0.00,50.00,0.00,0.00,50.00
3.5331,38800.79,0.00,0.00,20.00,33.33,75.00,0.00,0.00,0.00
3.7831,41641.83,0.00,0.00,20.00,50.00,125.00,0.00,0.00,0.00
4.0331,37881.74,0.00,0.00,80.00,16.67,50.00,0.00,50.00,0.00
4.2831,40388.36,0.00,0.00,40.00,33.33,50.00,0.00,0.00,0.00
4.5331,41474.69,0.00,0.00,60.00,50.00,50.00,0.00,50.00,0.00
4.7831,39719.89,0.00,0.00,20.00,33.33,25.00,0.00,0.00,0.00
5.0331,39051.45,0.00,0.00,100.00,0.00,50.00,0.00,0.00,0.00
5.2831,39302.11,0.00,0.00,20.00,0.00,125.00,0.00,0.00,50.00
5.5331,37129.84,0.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00
5.7832,42143.24,0.00,0.00,20.00,16.67,25.00,0.00,0.00,0.00
6.0332,41808.96,0.00,0.00,20.00,16.67,75.00,0.00,0.00,50.00
6.2832,40304.80,0.00,0.00,0.00,16.67,200.00,200.00,0.00,1800.13
6.5332,193422.24,2603051.27,200.00,860.03,216.67,650.02,3300.42,0.00,6551.66
6.7832,577898.64,23446495.79,400.01,2140.17,183.33,625.01,7552.19,300.00,13356.88
7.0332,1106806.23,40820641.14,400.01,2260.19,216.67,725.02,7452.14,250.00,15859.70
7.2832,1302165.71,68551016.77,0.00,2840.31,333.34,500.01,9803.70,100.00,14858.52
7.5332,1199216.95,45654824.01,200.00,2640.26,333.34,625.01,9353.36,150.00,15959.83
7.7832,1352020.04,88696434.62,0.00,2820.30,166.67,800.02,9003.12,100.00,18112.66
8.0332,1506931.35,68971672.62,0.00,2360.21,166.67,600.01,9403.40,50.00,15909.77
8.2832,1373292.37,59560722.29,0.00,2300.20,100.00,375.01,8552.81,200.00,16510.52
8.5333,1532420.14,65407314.68,0.00,2400.22,216.67,675.02,9203.26,300.00,18012.52
8.7833,1536506.98,76516090.75,0.00,2720.28,150.00,675.02,7502.16,50.00,14908.58
9.0333,1527961.76,55128633.57,0.00,2240.19,200.00,175.00,8202.59,200.00,15309.04
9.2833,1527331.02,61014456.05,0.00,2480.23,283.34,675.02,7151.97,150.00,17011.16
9.5333,1524116.84,58420032.10,0.00,2280.20,100.00,600.01,6551.65,0.00,15008.69
9.7833,1427648.28,56239374.53,0.00,1740.11,216.67,325.00,6651.70,100.00,14057.62
10.0333,1346870.44,61399582.76,0.00,1940.14,133.33,550.01,9153.22,100.00,13306.83
10.2833,1350456.15,68634487.47,0.00,2260.19,150.00,650.02,6551.65,100.00,13156.68
10.5333,1474418.04,56445147.43,0.00,2020.15,166.67,450.01,7201.99,100.00,14107.68
10.7833,1619133.84,66330161.18,0.00,2180.18,100.00,525.01,6401.58,50.00,13206.73
11.0333,1458995.16,56694591.56,0.00,2200.18,200.00,375.01,7101.94,150.00,13406.94
11.2833,1496744.48,55561986.53,0.00,2180.18,183.33,500.01,6901.83,0.00,11705.29
11.5334,1487870.93,61388992.34,0.00,1660.10,100.00,350.00,6201.48,0.00,10504.26
11.7834,1284055.72,59737400.02,0.00,1700.11,83.33,500.01,6401.58,0.00,10704.42
12.0334,1435061.63,56360594.92,0.00,1520.09,116.67,350.00,6151.46,200.00,11955.51
12.2834,1726722.42,57325176.76,0.00,2120.17,133.33,325.00,6201.48,50.00,11705.29
12.5334,1361386.09,61589071.47,0.00,1500.09,116.67,400.01,6051.41,50.00,11955.51
12.7834,1445084.34,58810738.70,0.00,1640.10,83.33,200.00,5351.10,50.00,8752.96
13.0334,1330704.51,61716213.39,0.00,1560.09,200.00,250.00,4150.66,0.00,8802.99
13.2834,1474815.49,64862363.81,0.00,1780.12,133.33,150.00,4450.76,100.00,9503.49
13.5334,1571102.60,58269944.28,0.00,1460.08,133.33,450.01,4750.87,150.00,8602.86
13.7834,1286042.98,51876180.44,0.00,1220.06,100.00,100.00,5050.98,0.00,8953.09
14.0334,1254307.28,55411443.21,0.00,1140.05,100.00,300.00,5751.27,50.00,6951.87
14.2835,1414558.28,50071027.11,0.00,1060.04,133.33,225.00,4450.76,0.00,6851.81
14.5335,1180104.69,51917346.41,0.00,900.03,133.33,150.00,4600.81,0.00,8252.63
14.7835,1376057.26,54710141.36,0.00,1200.05,100.00,300.00,5251.06,50.00,8352.69
15.0335,1583544.58,64810038.05,0.00,940.03,83.33,250.00,4950.94,100.00,8002.47
15.2835,1600151.17,56374032.23,0.00,1180.05,66.67,200.00,3550.48,150.00,6351.56
15.5335,1426239.92,56400109.70,0.00,1000.04,116.67,375.01,3200.39,0.00,7502.17
15.7835,1410834.33,61743828.18,0.00,620.01,83.33,225.00,3600.50,100.00,6551.66
16.0335,1386278.69,58344760.44,0.00,560.01,133.33,400.01,3850.57,50.00,7151.97
16.2835,1346317.47,49994730.57,0.00,1040.04,50.00,300.00,3250.41,50.00,7602.23
16.5335,1341954.13,57715826.43,0.00,740.02,100.00,150.00,3850.57,50.00,7352.09
16.7836,1404596.05,49706170.23,0.00,620.01,33.33,250.00,3600.50,50.00,5601.21
17.0336,1204314.71,50264672.28,0.00,940.03,33.33,250.00,3000.35,0.00,5201.04
17.2836,1249650.18,52193494.33,0.00,620.01,66.67,325.00,3250.41,0.00,4800.89
17.5336,1294147.55,56122652.21,0.00,820.03,50.00,275.00,2700.28,50.00,6101.44
17.7836,1358923.61,51305892.28,0.00,700.02,83.33,150.00,2850.31,0.00,5351.11
18.0336,1183120.14,50158540.38,0.00,700.02,66.67,200.00,3100.37,150.00,5701.25
18.2836,1342688.55,49059016.15,0.00,720.02,66.67,125.00,2350.21,50.00,4650.84
18.5336,1392577.45,49777000.74,0.00,720.02,33.33,150.00,3100.37,0.00,5050.98
18.7836,1251412.79,61184756.75,0.00,820.03,50.00,225.00,3100.37,100.00,4800.89
19.0336,1401848.45,59340658.02,0.00,720.02,83.33,200.00,2650.27,50.00,5701.25
19.2836,1256916.64,48707767.38,0.00,580.01,50.00,100.00,2550.25,100.00,4150.66
19.5336,1193523.02,51428080.62,0.00,640.02,116.67,125.00,2850.31,0.00,4900.93
19.7837,1250056.27,41728057.51,0.00,440.01,100.00,100.00,3000.35,0.00,4650.84
20.0337,1285947.93,51244684.24,0.00,440.01,116.67,150.00,1950.15,0.00,3650.51
20.2837,1175387.10,53967844.36,0.00,460.01,50.00,125.00,2900.32,50.00,3900.59
20.5337,1223383.77,50071710.36,0.00,400.01,66.67,200.00,2900.32,0.00,5451.15
20.7837,1298778.73,48930393.85,0.00,640.02,50.00,150.00,2950.33,0.00,5501.17
21.0337,1238668.40,55995225.60,0.00,660.02,100.00,75.00,2800.30,0.00,3800.56
21.2837,1101711.56,55435584.80,0.00,540.01,50.00,275.00,2700.28,0.00,5101.00
21.5337,1193643.98,45866119.87,0.00,800.02,33.33,150.00,2550.25,0.00,5201.04
21.7837,1139504.08,41572218.99,0.00,400.01,66.67,200.00,2700.28,0.00,4200.68
