D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\STDCZ#15.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 17:28:36 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2830,33955.57,0.00,0.00,20.00,16.67,75.00,0.00,0.00,50.00
0.5330,37046.30,0.00,0.00,60.00,50.00,0.00,0.00,0.00,0.00
0.7830,33955.57,0.00,0.00,80.00,50.00,100.00,0.00,50.00,0.00
1.0330,33788.52,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1.2830,37296.93,0.00,0.00,20.00,16.67,25.00,0.00,0.00,0.00
1.5330,37714.65,0.00,0.00,40.00,33.33,50.00,0.00,0.00,0.00
1.7830,36294.44,0.00,0.00,0.00,50.00,50.00,0.00,0.00,50.00
2.0331,35793.23,0.00,0.00,40.00,16.67,150.00,0.00,0.00,0.00
2.2831,38550.14,0.00,0.00,20.00,16.67,50.00,0.00,0.00,0.00
2.5331,35041.43,0.00,0.00,0.00,33.33,25.00,0.00,0.00,0.00
2.7831,37965.29,0.00,0.00,0.00,50.00,100.00,0.00,0.00,0.00
3.0331,36043.83,0.00,0.00,60.00,16.67,75.00,0.00,0.00,0.00
3.2831,37129.84,0.00,0.00,80.00,50.00,25.00,0.00,0.00,0.00
3.5331,35793.23,0.00,0.00,40.00,83.33,25.00,0.00,0.00,50.00
3.7831,36795.68,0.00,0.00,0.00,16.67,125.00,0.00,0.00,0.00
4.0331,38215.94,0.00,0.00,20.00,33.33,50.00,0.00,0.00,0.00
4.2831,37464.02,0.00,0.00,60.00,83.33,25.00,0.00,0.00,0.00
4.5331,39552.78,0.00,0.00,40.00,16.67,50.00,0.00,0.00,0.00
4.7831,37547.56,0.00,0.00,20.00,50.00,25.00,0.00,0.00,0.00
5.0332,34540.25,0.00,0.00,20.00,33.33,100.00,0.00,0.00,0.00
5.2832,33788.52,0.00,0.00,0.00,33.33,50.00,0.00,0.00,0.00
5.5332,36210.91,0.00,0.00,20.00,0.00,50.00,0.00,0.00,0.00
5.7832,35375.56,0.00,0.00,0.00,33.33,75.00,0.00,0.00,50.00
6.0332,33537.95,0.00,0.00,20.00,0.00,100.00,0.00,0.00,0.00
6.2832,36461.52,0.00,0.00,40.00,33.33,75.00,50.00,0.00,0.00
6.5332,35626.15,0.00,0.00,60.00,100.00,300.00,2050.16,450.01,74211.99
6.7832,449472.29,9132691.41,400.01,7842.33,750.02,675.02,11955.50,1550.09,257892.11
7.0332,870181.56,26626011.70,0.00,14347.79,1150.05,825.03,20466.10,2300.20,296812.30
7.2832,1298296.14,45427756.40,200.00,17411.47,900.03,675.02,22820.01,2650.27,356386.47
7.5332,1326565.82,55667093.55,200.00,17010.95,1200.05,775.02,28932.16,3200.39,389468.77
7.7833,1539833.48,45178369.20,0.00,22939.91,1166.72,750.02,28581.39,3100.37,465362.40
8.0333,1337201.99,50830917.86,0.00,19774.80,1000.04,700.02,32340.18,3550.49,433277.69
8.2833,1647914.56,61899894.46,200.00,22178.61,800.02,525.01,29282.95,2450.23,327898.61
8.5333,1374277.36,42343041.78,0.00,20976.65,1150.05,550.01,25775.53,2850.31,358390.65
8.7833,1339362.05,58438309.10,0.00,20155.37,966.70,750.02,28330.84,3200.39,365587.65
9.0333,1547635.64,43816703.74,0.00,21557.58,1133.38,650.02,30886.65,2700.28,380508.25
9.2833,1647525.75,49035387.00,0.00,19634.59,1033.37,800.02,27178.38,2650.27,387253.83
9.5333,1136376.31,55730692.98,0.00,19073.77,1050.04,550.01,33693.61,2900.32,425940.23
9.7833,1603503.60,73842523.37,0.00,21757.91,983.37,500.01,29834.20,2600.26,452622.66
10.0333,1342852.72,55296941.46,0.00,19554.47,1100.05,725.02,29032.39,2650.27,387768.90
10.2833,1382658.42,57712979.55,400.01,20636.11,1100.05,850.03,26176.33,2850.31,350478.49
10.5334,1162737.75,41350389.65,0.00,18953.59,1416.74,550.01,29834.20,2950.34,398435.42
10.7834,1479429.39,56026313.60,0.00,20475.86,1083.38,475.01,30285.24,2750.29,358699.00
11.0334,1410272.71,59137845.88,0.00,19434.29,1100.05,600.01,30986.89,3050.36,394982.03
11.2834,1402738.40,55507383.26,0.00,21016.71,983.37,500.01,31037.01,2950.34,412361.28
11.5334,1598889.70,72353032.73,0.00,22779.63,1250.06,725.02,30686.18,3250.41,447188.72
11.7834,1465553.12,78073451.15,400.01,21136.90,1300.06,300.00,26577.14,1750.12,368158.96
12.0334,1313242.53,45377765.08,0.00,20115.31,1050.04,675.02,31337.73,3750.54,439326.42
12.2834,1407853.43,48883932.67,0.00,20716.24,1150.05,550.01,35047.18,2300.20,459094.53
12.5334,1471074.25,57857145.84,0.00,21577.61,1200.05,475.01,29784.08,3350.43,414322.36
12.7834,1380273.71,43766655.48,0.00,20015.16,1250.06,750.02,31738.70,2600.26,432554.10
