D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_107.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 18:01:51 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,35793.23,0.00,0.00,40.00,50.00,75.00,0.00,0.00,0.00
0.5329,36043.83,0.00,0.00,0.00,33.33,50.00,0.00,0.00,0.00
0.7829,37881.74,0.00,0.00,60.00,16.67,75.00,0.00,0.00,0.00
1.0329,41307.56,0.00,0.00,0.00,33.33,75.00,0.00,0.00,0.00
1.2829,39218.55,0.00,0.00,40.00,16.67,25.00,0.00,0.00,0.00
1.5329,37213.39,0.00,0.00,80.00,66.67,0.00,0.00,0.00,0.00
1.7830,39970.56,0.00,0.00,40.00,0.00,125.00,0.00,0.00,0.00
2.0330,37881.74,0.00,0.00,40.00,50.00,100.00,0.00,0.00,0.00
2.2830,36795.68,0.00,0.00,0.00,33.33,175.00,0.00,0.00,0.00
2.5330,39636.33,0.00,0.00,80.00,16.67,100.00,0.00,0.00,0.00
2.7830,36294.44,0.00,0.00,20.00,33.33,25.00,0.00,0.00,0.00
3.0330,39469.22,0.00,0.00,60.00,33.33,25.00,0.00,50.00,0.00
3.2830,37213.39,0.00,0.00,80.00,0.00,50.00,0.00,0.00,0.00
3.5330,36294.44,0.00,0.00,20.00,16.67,50.00,0.00,0.00,0.00
3.7830,37965.29,0.00,0.00,60.00,16.67,75.00,0.00,0.00,0.00
4.0330,39218.55,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00
4.2831,37547.56,0.00,0.00,0.00,50.00,75.00,0.00,0.00,0.00
4.5331,35542.62,0.00,0.00,20.00,0.00,50.00,0.00,0.00,0.00
4.7831,38048.84,0.00,0.00,0.00,16.67,50.00,0.00,50.00,0.00
5.0331,38048.84,0.00,0.00,20.00,16.67,75.00,0.00,0.00,0.00
5.2831,38048.84,0.00,0.00,60.00,33.33,50.00,0.00,50.00,0.00
5.5331,37631.11,0.00,0.00,40.00,33.33,25.00,0.00,0.00,0.00
5.7831,36628.60,0.00,0.00,0.00,33.33,75.00,0.00,0.00,0.00
6.0331,40054.12,0.00,0.00,0.00,16.67,100.00,0.00,0.00,0.00
6.2831,39302.11,0.00,0.00,20.00,0.00,50.00,350.00,0.00,1950.15
6.5331,142684.42,1956037.96,400.01,1160.05,166.67,1550.09,22669.75,150.00,19464.61
6.7831,807614.10,26486229.61,400.01,4180.66,366.67,2875.31,38958.29,0.00,24974.05
7.0331,1014444.25,43830653.48,200.00,5781.27,483.34,3475.46,57175.46,400.01,33944.42
7.2831,1220492.76,42020375.75,400.01,6901.80,400.01,3850.56,65665.44,550.01,37203.35
7.5332,1198966.39,56575819.49,0.00,6161.44,500.01,3750.53,60540.65,150.00,41215.47
7.7832,1439131.19,52743797.35,0.00,7021.87,350.00,4475.76,72702.74,200.00,40663.73
8.0332,1225690.73,63553935.10,200.00,7482.12,700.02,4475.76,75116.41,250.00,38958.50
8.2832,1568830.21,81299143.55,400.01,7562.16,450.01,4500.77,75267.28,250.00,43573.17
8.5332,1520798.98,59912825.13,0.00,6101.41,650.02,3800.55,71646.91,250.00,41717.07
8.7832,1336890.94,69215821.54,0.00,7342.04,666.68,4650.82,75166.70,450.01,44125.03
9.0332,1460783.70,51862173.76,0.00,7221.97,666.68,4700.84,76574.88,250.00,44827.44
9.2832,1614200.25,62150192.66,0.00,7642.21,416.67,4600.80,64057.45,200.00,35298.03
9.5332,1215149.60,62397074.60,200.00,7081.90,683.35,4450.75,71848.01,150.00,40011.71
9.7832,1551273.19,64701287.01,0.00,7081.90,583.35,4600.80,70289.53,150.00,38055.83
10.0332,1519105.49,61231730.37,0.00,7482.12,700.02,3775.54,64861.42,50.00,38105.97
10.2833,1467678.63,60558954.32,0.00,6881.79,600.01,4500.77,59937.87,300.00,36651.79
10.5333,1376670.72,57880376.43,0.00,6601.65,666.68,3375.43,65966.96,300.00,39259.41
10.7833,1292298.53,60491881.69,0.00,6901.80,516.68,4200.67,62148.21,150.00,36902.49
11.0333,1349211.96,61356993.34,0.00,6101.41,650.02,4475.76,69736.56,300.00,39460.02
11.2833,1471584.03,59131184.17,0.00,7081.90,600.01,3550.48,66419.26,400.01,35548.72
11.5333,1379193.67,55711960.47,200.00,6541.62,566.68,4425.74,63755.97,300.00,32440.58
11.7833,1358534.80,58523089.36,200.00,6441.57,550.01,3950.59,72652.47,400.01,41265.63
12.0333,1463695.47,56604288.35,0.00,6821.76,600.01,4125.65,62600.37,200.00,37955.53
12.2833,1411361.38,58277061.49,0.00,7061.89,616.68,4025.61,55920.02,200.00,33192.48
12.5333,1155454.01,51673652.99,200.00,6641.67,533.34,3300.41,60289.48,100.00,37002.78
12.7833,1253512.38,56819228.22,0.00,6421.56,600.01,3900.58,60641.12,250.00,39409.86
13.0334,1546555.61,63489538.54,0.00,6621.66,616.68,3600.49,69233.89,250.00,39058.80
13.2834,1448721.89,66358288.41,0.00,6961.83,583.35,3800.55,62650.62,300.00,38657.60
13.5334,1557597.87,54237729.14,0.00,6821.76,466.67,4525.78,63705.72,350.00,40412.95
13.7834,1489270.65,49605845.97,200.00,7121.92,450.01,4175.66,69083.08,200.00,39409.86
14.0334,1481027.84,70481774.71,200.00,7402.07,450.01,4400.73,63755.97,250.00,37203.35
14.2834,1266645.58,53836944.56,0.00,7302.02,483.34,3700.52,63605.23,350.00,36952.64
14.5334,1555619.25,59240903.14,200.00,6961.83,683.35,3500.46,63655.47,150.00,35899.68
14.7834,1404967.59,56082454.18,0.00,6141.43,700.02,3825.55,60339.72,200.00,36200.52
15.0334,1449862.40,49458832.79,0.00,6661.68,483.34,3700.52,57627.45,250.00,34195.08
15.2834,1302347.16,64383745.37,0.00,6761.73,750.02,3750.53,58079.46,400.01,36350.94
15.5334,1423596.00,60110228.19,0.00,6201.46,583.35,4125.65,57527.01,200.00,32139.83
15.7835,1277713.76,59236803.63,200.00,6701.70,700.02,3750.53,57828.34,250.00,34044.68
16.0335,1350533.92,60018501.53,0.00,6301.50,566.68,3225.39,54564.28,450.01,35298.03
