D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\STDCZ#1.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 15:56:24 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2830,48830.41,0.00,0.00,60.00,16.67,125.00,0.00,0.00,50.00
0.5330,50419.06,0.00,0.00,60.00,16.67,0.00,0.00,0.00,0.00
0.7830,48997.63,0.00,0.00,60.00,33.33,175.00,0.00,0.00,0.00
1.0330,47827.14,0.00,0.00,0.00,66.67,150.00,0.00,0.00,0.00
1.2830,44316.24,0.00,0.00,40.00,66.67,100.00,0.00,0.00,50.00
1.5330,45570.04,0.00,0.00,40.00,66.67,25.00,0.00,0.00,0.00
1.7830,45152.09,0.00,0.00,100.00,50.00,125.00,0.00,0.00,0.00
2.0330,45570.04,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
2.2830,45737.22,0.00,0.00,20.00,16.67,125.00,0.00,0.00,50.00
2.5330,45737.22,0.00,0.00,40.00,0.00,200.00,0.00,0.00,0.00
2.7831,47659.94,0.00,0.00,20.00,33.33,150.00,0.00,0.00,0.00
3.0331,44483.41,0.00,0.00,20.00,16.67,75.00,0.00,0.00,0.00
3.2831,45653.63,0.00,0.00,20.00,33.33,125.00,0.00,0.00,0.00
3.5331,47827.14,0.00,0.00,60.00,50.00,75.00,0.00,0.00,0.00
3.7831,47409.13,0.00,0.00,40.00,133.33,50.00,0.00,0.00,0.00
4.0331,46071.59,0.00,0.00,0.00,83.33,50.00,0.00,0.00,0.00
4.2831,47158.34,0.00,0.00,40.00,33.33,75.00,0.00,0.00,0.00
4.5331,46740.35,0.00,0.00,40.00,33.33,25.00,0.00,0.00,0.00
4.7831,48830.41,0.00,0.00,60.00,16.67,100.00,0.00,0.00,0.00
5.0331,48746.81,0.00,0.00,20.00,50.00,100.00,0.00,0.00,0.00
5.2831,47241.94,0.00,0.00,0.00,16.67,125.00,0.00,0.00,0.00
5.5332,42644.68,0.00,0.00,0.00,16.67,50.00,0.00,0.00,0.00
5.7832,51004.39,0.00,0.00,80.00,33.33,125.00,0.00,0.00,0.00
6.0332,46071.59,0.00,0.00,60.00,0.00,125.00,50.00,0.00,0.00
6.2832,43731.17,0.00,0.00,40.00,33.33,100.00,50.00,0.00,100.00
6.5332,46656.75,396458.19,200.00,900.03,233.34,375.01,3600.50,600.01,87494.52
6.7832,425015.54,8803756.84,400.01,12565.98,783.36,600.01,23320.90,2000.15,315035.21
7.0332,879367.92,36416053.34,200.00,22539.22,1300.06,775.02,33142.20,2900.32,455677.00
7.2832,1196298.91,50275604.32,0.00,24843.35,1366.74,1200.05,48490.27,4000.62,580106.25
7.5332,1351380.66,46825805.07,0.00,29252.36,1783.45,950.03,46432.78,4050.63,599981.59
7.7832,1241001.28,60580590.65,200.00,30294.71,1750.12,1075.04,49995.96,5101.00,662206.05
8.0332,1465812.33,64264802.48,0.00,33943.57,1916.81,875.03,50949.66,4950.94,702075.68
8.2832,1404475.09,62137381.67,0.00,30615.45,1866.80,825.03,54463.85,4500.78,639402.05
8.5333,1438310.37,54633787.89,0.00,32680.39,2016.82,900.03,54514.07,5251.06,676412.70
8.7833,1576787.90,57126350.26,200.00,34645.39,1783.45,775.02,52505.83,5201.04,640032.08
9.0333,1402306.38,57642604.53,0.00,34204.24,1416.74,925.03,52706.63,5301.08,684891.31
9.2833,1466840.52,73820146.85,0.00,33723.01,1800.12,900.03,45780.47,4850.91,639664.55
9.5333,1427458.20,61460847.74,0.00,33221.74,1500.09,925.03,53007.86,5301.08,666361.23
9.7833,1361593.45,76856350.54,0.00,30876.05,1533.42,950.03,49644.62,5151.02,600033.98
10.0333,1721365.45,69085775.80,0.00,33502.45,1883.47,1075.04,51200.63,5050.98,683416.36
10.2833,1358189.19,58590446.68,0.00,34505.02,1950.14,1200.05,52656.43,4750.87,699544.04
10.5333,1439891.54,57060644.14,0.00,33161.59,1800.12,1100.05,49243.10,5501.17,665624.80
10.7833,1553571.50,71133312.99,0.00,32439.80,1700.11,1250.06,49945.77,5451.14,616899.17
11.0333,1466054.26,57062807.77,0.00,33602.70,2066.83,950.03,51351.23,5151.02,652953.66
11.2834,1366371.52,56102325.45,0.00,33923.52,1983.48,850.03,50196.73,5801.30,714001.81
11.5334,1625510.35,57888119.96,0.00,35587.89,1950.14,1100.05,52254.82,5000.96,654162.35
11.7834,1511009.56,59482888.44,0.00,34184.19,1783.45,875.03,50949.66,5000.96,627909.81
12.0334,1445317.62,59343846.53,0.00,32720.49,1816.79,1325.07,56120.89,4950.94,653479.20
12.2834,1535547.91,63134019.45,0.00,34645.39,2233.52,1025.04,51401.43,5101.00,655844.34
12.5334,1505652.59,63925282.88,0.00,33542.55,1866.80,1175.05,54313.23,5351.10,654793.12
12.7834,1550374.61,59047941.23,200.00,31517.57,2016.82,875.03,50648.48,4950.94,636042.58
13.0334,1509333.35,65596347.90,0.00,34805.81,1666.77,1275.06,51501.82,5801.30,689844.04
13.2834,1538062.23,64950674.20,0.00,36931.57,2116.84,925.03,51150.44,5401.12,639874.51
13.5334,1483101.50,61968618.29,200.00,34264.40,1850.13,850.03,51752.81,4450.76,672885.94
13.7835,1518362.42,49951970.34,0.00,33803.21,2266.86,1450.08,54514.07,4500.78,702550.39
14.0335,1457543.60,55577929.09,0.00,35728.27,1666.77,1050.04,49192.91,4250.70,630899.95
14.2835,1479463.95,63175527.04,0.00,34043.83,1916.81,675.02,54313.23,4200.68,626021.63
14.5335,1534234.59,64693942.04,0.00,35407.41,1733.45,1375.07,48941.96,5050.98,672201.76
14.7835,1552068.10,57002681.54,0.00,37613.49,2033.49,1275.06,57024.80,4700.85,666466.46
15.0335,1400846.18,61549328.95,0.00,34464.92,1766.78,1025.04,51702.62,5801.30,628014.70
15.2835,1496329.75,51121527.96,0.00,32680.39,1650.10,775.02,51050.05,4500.78,681204.25
15.5335,1581583.24,59569433.76,200.00,33582.65,1866.80,850.03,52505.83,5301.08,636095.02
15.7835,1437437.70,57971989.21,0.00,33061.34,1683.44,1150.05,49795.19,4400.75,627332.81
16.0335,1763348.50,55103239.35,0.00,32459.85,1916.81,825.03,53760.94,5801.30,612445.07
16.2835,1383634.77,53506591.93,200.00,34384.71,2050.16,1025.04,48841.59,4050.63,658262.45
16.5336,1335931.87,54166272.30,0.00,36871.40,1733.45,700.02,47888.05,5000.96,693744.29
16.7836,1398202.26,63729474.08,200.00,34886.02,1516.75,900.03,45730.30,4500.78,588262.01
17.0336,1484388.90,50327645.39,200.00,33843.31,1866.80,950.03,50999.85,4600.82,599196.53
17.2836,1460792.34,55904580.76,0.00,34625.34,1616.77,700.02,47436.40,4450.76,645230.66
17.5336,1516677.57,51750291.15,0.00,33221.74,1983.48,725.02,49494.05,5501.17,642499.85
17.7836,1409175.39,56333037.07,0.00,34585.23,1650.10,900.03,50748.87,5701.25,656790.53
18.0336,1650964.57,56769635.47,0.00,34204.24,2133.51,975.04,46733.86,5050.98,570023.00
18.2836,1280366.32,53212223.94,0.00,31196.81,1650.10,1000.04,46081.53,3700.53,580628.91
18.5336,1403861.63,48754968.75,0.00,31597.76,1633.43,1050.04,42920.74,4350.73,544718.26
18.7836,1377750.75,49579996.25,0.00,32700.44,1866.80,800.02,46332.42,4650.83,572738.96
19.0336,1376083.18,57822584.65,0.00,31477.47,1616.77,825.03,46382.60,4600.82,580263.04
19.2836,1329028.30,61158793.16,0.00,32479.90,1800.12,925.03,45780.47,5000.96,607730.66
19.5337,1377474.26,70052464.33,0.00,31577.71,1750.12,925.03,47536.76,4900.93,578277.10
19.7837,1153216.18,52971548.22,0.00,30074.21,1883.47,875.03,41817.15,3750.54,551965.63
