D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\GJ1#22.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 18:36:50 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,35292.02,0.00,0.00,20.00,50.00,0.00,0.00,0.00,0.00
0.5329,34289.67,0.00,0.00,40.00,16.67,125.00,0.00,0.00,0.00
0.7829,33454.43,0.00,0.00,80.00,16.67,75.00,0.00,0.00,0.00
1.0329,33788.52,0.00,0.00,60.00,33.33,50.00,0.00,50.00,0.00
1.2829,32869.79,0.00,0.00,0.00,33.33,125.00,0.00,0.00,0.00
1.5330,35208.49,0.00,0.00,40.00,16.67,100.00,0.00,0.00,0.00
1.7830,31784.09,0.00,0.00,0.00,16.67,75.00,0.00,0.00,0.00
2.0330,34289.67,0.00,0.00,40.00,16.67,50.00,0.00,50.00,0.00
2.2830,35960.30,0.00,0.00,40.00,16.67,25.00,0.00,0.00,0.00
2.5330,35960.30,0.00,0.00,20.00,50.00,25.00,0.00,0.00,0.00
2.7830,34874.37,0.00,0.00,80.00,66.67,0.00,0.00,0.00,0.00
3.0330,35124.96,0.00,0.00,0.00,16.67,125.00,0.00,0.00,0.00
3.2830,34957.90,0.00,0.00,20.00,50.00,0.00,0.00,0.00,0.00
3.5330,35709.69,0.00,0.00,20.00,16.67,100.00,0.00,0.00,0.00
3.7830,33370.91,0.00,0.00,20.00,0.00,50.00,0.00,0.00,0.00
4.0331,36628.60,0.00,0.00,40.00,66.67,75.00,0.00,0.00,0.00
4.2831,32702.75,0.00,0.00,20.00,16.67,75.00,0.00,0.00,0.00
4.5331,35542.62,0.00,0.00,80.00,66.67,25.00,0.00,0.00,0.00
4.7831,37965.29,0.00,0.00,60.00,16.67,50.00,0.00,0.00,0.00
5.0331,35375.56,0.00,0.00,80.00,66.67,75.00,50.00,0.00,0.00
5.2831,34957.90,0.00,0.00,20.00,33.33,50.00,0.00,0.00,0.00
5.5331,34206.14,0.00,0.00,80.00,0.00,50.00,50.00,0.00,0.00
5.7831,35375.56,0.00,0.00,20.00,33.33,25.00,0.00,0.00,0.00
6.0331,31867.60,0.00,0.00,0.00,16.67,75.00,0.00,0.00,0.00
6.2831,31283.02,0.00,0.00,40.00,33.33,50.00,0.00,0.00,0.00
6.5331,34623.78,0.00,0.00,60.00,100.00,325.00,650.02,300.00,51351.59
6.7831,507210.57,10147053.71,0.00,11645.13,1183.39,650.02,4150.66,1200.06,154313.79
7.0332,1088522.22,51709694.56,0.00,18753.31,1366.74,600.01,4550.80,1450.08,208464.18
7.2832,1076136.38,42427935.91,0.00,18392.80,1333.40,275.00,2850.31,1600.10,168640.76
7.5332,1158529.94,39546033.44,0.00,18012.28,1300.06,300.00,4600.81,1700.11,212885.23
7.7832,1392007.19,53079160.50,1000.04,18272.63,1200.05,275.00,5851.32,1800.12,238628.13
8.0332,1696896.22,59340658.02,0.00,24823.31,1383.41,250.00,6151.46,1700.11,270801.59
8.2832,1718099.43,69146414.47,0.00,22779.63,1233.39,350.00,4500.78,1650.10,211309.74
8.5332,1345099.19,55715889.17,0.00,20395.74,1283.40,350.00,4150.66,1950.15,273660.74
8.7832,1843400.56,77019647.91,0.00,21838.04,1650.10,175.00,6451.60,1950.15,233332.93
9.0332,1409408.68,53076199.74,400.01,21918.17,1350.07,250.00,5251.06,1350.07,220612.94
9.2832,1412510.54,52958281.73,0.00,21797.98,1050.04,150.00,4300.71,1950.15,262687.04
9.5332,1466978.77,50328214.77,0.00,20295.58,1283.40,200.00,3850.57,1650.10,221680.93
9.7832,1422680.13,54706326.53,0.00,23801.43,1366.74,350.00,5201.04,1650.10,224631.13
10.0333,1341020.98,62983931.63,800.02,21597.65,1300.06,375.01,5951.36,1850.13,230279.00
10.2833,1431104.39,56931338.59,0.00,21938.21,1166.72,175.00,5701.25,1500.09,247746.95
10.5333,1426110.31,68369100.77,0.00,21577.61,1533.42,325.00,4050.63,1850.13,213088.53
10.7833,1266662.86,44359377.10,0.00,19634.59,1533.42,150.00,4850.90,1750.12,237609.64
11.0333,1573737.88,72892289.84,0.00,22018.34,1416.74,300.00,5901.34,1650.10,211817.94
11.2833,1297819.66,55125672.81,0.00,19514.41,1300.06,325.00,5151.02,1750.12,232009.50
11.5333,1550003.08,68792831.25,0.00,21397.32,1416.74,300.00,4500.78,1450.08,265340.31
