D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_040.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 16:40:44 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,37129.84,0.00,0.00,80.00,66.67,75.00,0.00,0.00,0.00
0.5329,40471.92,0.00,0.00,40.00,16.67,150.00,0.00,0.00,0.00
0.7830,39385.66,0.00,0.00,60.00,33.33,25.00,50.00,0.00,0.00
1.0330,40471.92,0.00,0.00,60.00,33.33,25.00,0.00,0.00,0.00
1.2830,39970.56,0.00,0.00,20.00,50.00,75.00,0.00,0.00,0.00
1.5330,41558.26,0.00,0.00,60.00,83.33,125.00,0.00,0.00,0.00
1.7830,41474.69,0.00,0.00,20.00,33.33,100.00,0.00,50.00,0.00
2.0330,42226.81,0.00,0.00,20.00,33.33,75.00,0.00,0.00,0.00
2.2830,40639.05,0.00,0.00,40.00,50.00,175.00,0.00,0.00,0.00
2.5330,39469.22,0.00,0.00,0.00,50.00,75.00,0.00,0.00,0.00
2.7830,42393.96,0.00,0.00,80.00,0.00,25.00,0.00,0.00,0.00
3.0330,42226.81,0.00,0.00,40.00,50.00,25.00,0.00,50.00,0.00
3.2830,43731.17,0.00,0.00,40.00,33.33,100.00,0.00,0.00,0.00
3.5331,35292.02,0.00,0.00,20.00,16.67,25.00,0.00,0.00,0.00
3.7831,38800.79,0.00,0.00,80.00,66.67,25.00,0.00,0.00,0.00
4.0331,39887.00,0.00,0.00,20.00,66.67,75.00,0.00,0.00,0.00
4.2831,43480.44,0.00,0.00,60.00,50.00,25.00,0.00,0.00,0.00
4.5331,41223.99,0.00,0.00,40.00,16.67,50.00,0.00,0.00,0.00
4.7831,37380.48,0.00,0.00,20.00,16.67,125.00,0.00,0.00,0.00
5.0331,39970.56,0.00,0.00,60.00,33.33,100.00,0.00,0.00,0.00
5.2831,38717.24,0.00,0.00,40.00,33.33,50.00,0.00,0.00,0.00
5.5331,36461.52,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00
5.7831,43146.13,0.00,0.00,20.00,16.67,150.00,0.00,50.00,0.00
6.0331,38383.04,0.00,0.00,40.00,50.00,50.00,0.00,0.00,0.00
6.2831,36628.60,0.00,0.00,40.00,16.67,200.00,0.00,0.00,0.00
6.5332,39385.66,0.00,0.00,60.00,150.00,400.01,7902.40,100.00,18713.51
6.7832,545970.17,11643596.68,1000.04,1980.15,350.00,800.02,28481.17,350.00,44727.09
7.0332,1057828.86,46966327.35,1000.04,2880.31,216.67,925.03,33092.07,300.00,47135.61
7.2832,996378.09,48801885.43,400.01,3100.36,216.67,1150.05,44124.77,350.00,62902.37
7.5332,1465272.14,55651777.30,0.00,4200.67,300.00,1275.06,56120.89,500.01,70541.57
7.7832,1490056.92,69970360.15,0.00,3800.55,200.00,850.03,41867.32,250.00,66972.70
8.0332,1287027.97,65114484.01,0.00,3900.58,350.00,1275.06,48138.97,250.00,69938.31
8.2832,1405779.77,73146972.24,0.00,4660.82,150.00,1225.06,54263.02,850.03,74161.71
8.5332,1525611.61,74059285.26,200.00,4280.69,166.67,975.04,48590.65,450.01,70441.02
8.7832,1461569.96,63973281.38,0.00,3920.58,216.67,1125.05,49694.81,450.01,69686.96
9.0332,1432927.48,62313774.72,0.00,3960.59,183.33,1350.07,50347.31,400.01,69083.75
9.2833,1563879.34,69452967.13,0.00,4600.80,333.34,1175.05,56723.49,450.01,70239.94
9.5333,1524497.01,57418725.43,0.00,4240.68,250.00,1100.05,53760.94,850.03,68882.68
