gts2020_id,ref,age_type,comment,MSWD,df,comment
K60,Sageman et al. (2014),206Pb/238U,wtd mean,2.3,3,
K59,Sageman et al. (2014),40Ar/39Ar,wtd mean,0.86,49,First of two MSWDs
,,40Ar/39Ar,,0.97,7,Second of two MSWDs
K58,Sageman et al. (2014),40Ar/39Ar,wtd mean,1.03,43,
K57,Sageman et al. (2014),206Pb/238U,wtd mean,1.3,4,
K56,Siewert (2011),40Ar/39Ar,,,,Unpublished MSc thesis
K55,Meyers et al. (2012),40Ar/39Ar,wtd mean,0.59,32,
K54,Meyers et al. (2012),206Pb/238U,wtd mean,0.18,1,No MSWD reported in original publication. Calculated from tabulated dates.
K53,Meyers et al. (2012),40Ar/39Ar,wtd mean,0.084,2,
K52,Meyers et al. (2012),206Pb/238U,wtd mean,0.32,4,No MSWD reported in original publication. Calculated from tabulated dates.
K51,Quidelleur et al. (2011),206Pb/238U,wtd mean,1.5,4,
K50,Meyers et al. (2012),40Ar/39Ar,wtd mean,0.09,3,
K49,Meyers et al. (2012),206Pb/238U,wtd mean,0.48,5,
K48,Barker et al. (2011),206Pb/238U,,,,Paywall
K47,Meyers et al. (2012),40Ar/39Ar,wtd mean,0.84,1,
K46,Meyers et al. (2012),40Ar/39Ar,wtd mean,0.22,41,
K45,Meyers et al. (2012),206Pb/238U,wtd mean,0.26,1,
K44,Quidelleur et al. (2011),40Ar/39Ar,plateau,0.22,3,No MSWD reported in original publication. Calculated from tabulated dates.
K43,Ma et al. (2014),40Ar/39Ar,wtd mean,0.69,24,
K42,Siewert (2011),40Ar/39Ar,,,,Unpublished MSc thesis
K41,Barker et al. (2011),206Pb/238U,,,,Paywall
K40,Siewert (2011),40Ar/39Ar,,,,Unpublished MSc thesis
K39,Obradovich (1993),40Ar/39Ar,,,,No analytical data published
K38,Obradovich (1993),40Ar/39Ar,,,,No analytical data published
K37,Obradovich (1993),40Ar/39Ar,,,,No analytical data published
K36,Obradovich (1993),40Ar/39Ar,,,,No analytical data published
K35,Obradovich (1993),40Ar/39Ar,,,,No analytical data published
K34,Quidelleur et al. (2011),206Pb/238U,wtd mean,1.16,3,
K33,Quidelleur et al. (2011),206Pb/238U,wtd mean,1.3,10,No MSWD reported in original publication. Calculated from tabulated dates.
K32,Obradovich et al. (2002),40Ar/39Ar,,,,Paper contains insufficient data to calculate an MSWD
K31,Quidelleur et al. (2011),206Pb/238U,wtd mean,0.3,4,
K30,Obradovich et al. (2002),40Ar/39Ar,,,,Paper contains insufficient data to calculate an MSWD
K29,Quidelleur et al. (2011),206Pb/238U,wtd mean,2.3,6,No MSWD reported in original publication. Calculated from tabulated dates.
K28,Obradovich (1993),40Ar/39Ar,,,,No analytical data published
K27,Selby et al. (2009),206Pb/238U,wtd mean,1.7,4,
K26,Obradovich (1993),40Ar/39Ar,,,,No analytical data published
K25,Suarez et al. (2010),206Pb/238U,wtd mean,2,14,No MSWD reported in original publication. Calculated from tabulated dates.
K24,Suarez et al. (2010),40Ar/39Ar,wtd mean,0.82,6,First of three MSWDs
,,40Ar/39Ar,,0.27,7,Second of three MSWDs
,,40Ar/39Ar,,0.41,6,Third of three MSWDs
K23,He et al. (2008),40Ar/39Ar,wtd mean,1.05,4,First of three MSWDs
,,40Ar/39Ar,,2.04,4,Second of three MSWDs
,,40Ar/39Ar,,0.96,8,Third of three MSWDs
K22,Pringle and Duncan (1995),40Ar/39Ar,isochron,0.07,2,First of three isochron MSWDs
,,40Ar/39Ar,,0.65,3,Second of three isochron MSWDs
,,40Ar/39Ar,,0.63,2,Third of three isochron MSWDs
K21,Shimokawa (2010),206Pb/238U,,,,Unpublished PhD thesis
K20,Chambers et al. (2004),40Ar/39Ar,,,,Paywall
K19,Tejada et al. (2002),40Ar/39Ar,,,,Paper contains insufficient data to calculate an MSWD
K18,Midtkanal et al. (2016),206Pb/238U,wtd mean,1.3,9,
K17,Pringle and Duncan (1995),40Ar/39Ar,isochron,1,3,First of two isochron MSWDs
,,40Ar/39Ar,isochron,0,1,Second of two isochron MSWDs
K16,Aguirre-Urreta et al. (2019),206Pb/238U,wtd mean,0.97,5,
K15,Aguirre-Urreta et al. (2015),206Pb/238U,wtd mean,1.23,5,
K14,Aguirre-Urreta et al. (2015),206Pb/238U,wtd mean,0.19,4,
K13,Aguirre-Urreta et al. (2017),206Pb/238U,wtd mean,0.19,4,
K12,Shimokawa (2010),206Pb/238U,,,,Unpublished PhD thesis
K11,Wan et al. (2010),206Pb/238U,wtd mean,1.7,14,
K10,Shimokawa (2010),206Pb/238U,,,,Unpublished PhD thesis
K9,Suarez et al. (2009),206Pb/238U,wtd mean,1.3,13,
K8,Shimokawa (2010),206Pb/238U,,,,Unpublished PhD thesis
K7,Lena et al. (2019),206Pb/238U,wtd mean,0.56,3,
K6,Vennari et al. (2014),206Pb/238U,wtd mean,0.46,4,
K5,Lena et al. (2019),206Pb/238U,wtd mean,0.34,3,
K4,Lena et al. (2019),206Pb/238U,wtd mean,1.1,3,
K3,Lena et al. (2019),206Pb/238U,wtd mean,0.56,3,
