gts2020_id,ref,age_type,comment,MSWD,df,comment
O24,Ballo et al. (2019),206Pb/238U,wtd mean,0.015,1,
O23,Ballo et al. (2019),206Pb/238U,wtd mean,0.07,4,
O22,Leslie et al. (2012),206Pb/238U,,,,No MSWD reported in original publication. 
O21,Tucker and McKerrow (1995),206Pb/238U,,,,Hidden behind paywall
O20,Tucker et al. (1990),206Pb/238U,wtd mean,0.487,2,"Uses 3 oldest grains out of 4, as this reproduces the age reported in GTS2020"
O19,Tucker et al. (1990),206Pb/238U,wtd mean,0.635,1,"Uses 2 oldest out of 3 grains from Arenig Fawr data table, as this matches the value reported in GTS2020"
O18,MacDonald et al. (2017),206Pb/238U,wtd mean,0.8,5,
O17,Sell et al. (2011),206Pb/238U,wtd mean,1.5,4,
O15,Sell et al. (2011),206Pb/238U,wtd mean,1.09,2,
O14,Lindskog et al. (2017),206Pb/238U,wtd mean,1.4,8,
O13,Huff et al. (1997),206Pb/238U,wtd mean,1.55,2,"Recalculated from paper, using instructions provided in GTS2020"
O12,Thompson et al. (2012),206Pb/238U,wtd mean,1.2,5,
O11,Thompson et al. (2012),206Pb/238U,wtd mean,0.97,4,
O10,Thompson et al. (2012),206Pb/238U,wtd mean,1.4,3,
O9,Normore et al. (2018),206Pb/238U,wtd mean,1.9,6,
O8,Herrington et al. (2018),206Pb/238U,wtd mean,1.7,3,
O7,Normore et al. (2018),206Pb/238U,wtd mean,1,6,
O6,Normore et al. (2018),206Pb/238U,wtd mean,1.7,6,
O5,Normore et al. (2018),206Pb/238U,wtd mean,0.6,5,
O4,Thompson et al. (2012),206Pb/238U,wtd mean,0.65,3,
O3,Normore et al. (2018),206Pb/238U,wtd mean,3.8,8,
O2,Normore et al. (2018),207Pb/206Pb,wtd mean,1.4,7,
O1,Normore et al. (2018),207Pb/206Pb,wtd mean,0.6,6,
C16,Davidek et al. (1998),207Pb/206Pb,wtd mean,,,Hidden behind paywall
C15,Encarnacion et al. (1999),207Pb/206Pb,wtd mean,1.2,1,"Recalculated from paper, using instructions provided in GTS2020"
C14,Landing et al. (2014),206Pb/238U,wtd mean,0.74,4,
C13,Harvey et al. (2011),206Pb/238U,wtd mean,0.51,6,
C12,Landing et al. (2018),207Pb/206Pb,,,,Locked behind paywall
C11,Landing et al. (2018),206Pb/238U,,,,Locked behind paywall
C10,Harvey et al. (2011),206Pb/238U,wtd mean,2,1,
C9,Williams et al. (2013),206Pb/238U,wtd mean,0.67,4,
C8,Yang et al. (2018),206Pb/238U,wtd mean,,,No MSWD reported in original publication. 
C7,Harvey et al. (2011),206Pb/238U,wtd mean,1.1,5,
C6,Maloof et al. (2010),206Pb/238U,wtd mean,0.42,5,
C5,Maloof et al. (2010),206Pb/238U,wtd mean,1.2,9,
C4,Maloof et al. (2010),206Pb/238U,wtd mean,0.72,7,
C3,Maloof et al. (2010),206Pb/238U,wtd mean,0.33,11,
C2,Isachsen et al. (1994),206Pb/238U,wtd mean,2.197,2,"Recalculated from paper, using instructions provided in GTS2020"
C1,Linnemann et al. (2019),206Pb/238U,wtd mean,0.1,2,
E26,Linnemann et al. (2019),206Pb/238U,wtd mean,2.2,2,
E25,Linnemann et al. (2019),206Pb/238U,wtd mean,1.4,4,
E24,Linnemann et al. (2019),206Pb/238U,wtd mean,1.7,4,
E23,Bowring et al. (2007),206Pb/238U,wtd mean,1,7,
E22,Parry et al. (2017),206Pb/238U,wtd mean,3.3,4,
E21,Parry et al. (2017),206Pb/238U,wtd mean,0.68,3,
E20,Bowring et al. (2007),206Pb/238U,wtd mean,0.5,9,
E19,Bowring et al. (2007),206Pb/238U,wtd mean,0.62,7,
E18,Bowring et al. (2007),206Pb/238U,wtd mean,0.92,7,
E17,Bowring et al. (2007),206Pb/238U,wtd mean,1.6,7,
E16,Condon et al. (2005),206Pb/238U,wtd mean,0.48,1,
E15,Martin et al. (2000),206Pb/238U,wtd mean,0.1,18,
E14,Parry et al. (2017),206Pb/238U,wtd mean,1.6,7,
E13,Noble et al. (2015),206Pb/238U,wtd mean,1.2,6,
E12,Noble et al. (2015),206Pb/238U,wtd mean,0.42,1,
E11,Noble et al. (2015),206Pb/238U,wtd mean,0.8,1,
E10,Pu et al. (2016),206Pb/238U,wtd mean,1.3,4,
E9,Pu et al. (2016),206Pb/238U,wtd mean,0.33,4,
E8,Pu et al. (2016),206Pb/238U,wtd mean,1.1,8,
E7,Pu et al. (2016),206Pb/238U,wtd mean,0.73,3,
E6,Pu et al. (2016),206Pb/238U,wtd mean,0.018,5,
E5,Pu et al. (2016),206Pb/238U,wtd mean,0.82,4,
E4,Pu et al. (2016),206Pb/238U,wtd mean,1.1,8,
E3,Pu et al. (2016),206Pb/238U,wtd mean,0.36,4,
E2,Condon et al. (2005),206Pb/238U,wtd mean,0.36,2,
E1,Condon et al. (2005),206Pb/238U,wtd mean,0.55,2,
Cr4,Zhou et al. (2019),206Pb/238U,wtd mean,1.4,3,
Cr3,Prave et al. (2016),206Pb/238U,wtd mean,3.4,4,
Cr2,Calver et al. (2013),206Pb/238U,wtd mean,1.31,6,
Cr1,Prave et al. (2016),206Pb/238U,wtd mean,2.6,8,
