name,U238/Pb206,s[U238/Pb206],Pb207/Pb206,s[Pb207/Pb206],rho
DLNR_001,3.0853835215570977,0.032458488527308725,0.12313741677177768,0.0008071200137869558,0.27985631737747096
DLNR_002,5.083202584549538,0.04995031558357547,0.07935467174998018,0.0010238107977733294,0.3928390099010099
DLNR_003,6.121282834338652,0.051244392608807435,0.07212047897595589,0.000990154038497736,0.2956993872935417
DLNR_004,7.8552959008745145,0.09332202972159212,0.0667085597911155,0.0006943850099047387,0.4212769637915473
DLNR_005,7.635129808135345,0.07317301493663063,0.06956181987643928,0.0011809315996525337,0.13704967753347458
DLNR_006,8.423789612303889,0.11448927892342649,0.06611565198793339,0.002357345380949016,0.23003810073941489
DLNR_007,1.750402488109531,0.019238188551062293,0.20559225702084993,0.0016091181985042786,0.3304171625498195
DLNR_008,5.2858722902116,0.06626431009291926,0.0752490334552021,0.001937209343336004,0.2883206744400001
DLNR_009,8.54737253198004,0.0702296457167658,0.06866319420356067,0.0011814814525659943,0.32246387157298584
DLNR_010,11.078098700699172,0.12292691033524504,0.05708313807837556,0.0011435210854512838,-0.0509030467455045
DLNR_011,5.269142530333594,0.11548505707023501,0.07195950588940618,0.003995814886594201,0.1745917802447408
DLNR_012,2.94236808126775,0.027386688794914824,0.1151661704561614,0.0008600123182433149,0.2661560949462898
DLNR_013,8.315282357964918,0.08609256403501647,0.06159688844066855,0.000904833192606975,0.3097778426521216
DLNR_014,4.556469777846001,0.039453750846805066,0.0838602365102136,0.0009003844171178616,0.3788487603820007
DLNR_015,6.868857385023899,0.10283746999217858,0.0755135947493158,0.0026166810497104914,0.32273887534705786
DLNR_016,7.918927288062932,0.1451128579051065,0.06822125228273848,0.004315739037399896,0.2820935375002192
DLNR_017,8.569823486651416,0.08699958471299836,0.06274801633845214,0.0008160311619246399,0.2342883224994131
DLNR_018,3.4827587387620005,0.03938422086916146,0.09809572752555802,0.0008756845672263581,0.39640762596532514
DLNR_019,11.048906350163408,0.12315883823525924,0.058230479715925716,0.0011860586662985927,0.5111628167766991
DLNR_020,4.995909983174631,0.04588308025123233,0.07919409400009217,0.0007290033893619483,0.18767615644481878
DLNR_021,4.602188382379847,0.043702485265728744,0.10889421355925644,0.0008939953674258963,0.27633766527722403
DLNR_022,9.807212885575325,0.16101783866935768,0.07110745309884862,0.0029600156512262932,0.3151039266087095
DLNR_023,9.220330393591013,0.11474937620697788,0.061510334924884946,0.0014745257897750886,0.1324412349777456
DLNR_024,5.049851338240703,0.051749169696558996,0.07753045672942728,0.001040832284714345,0.14903903390726236
DLNR_025,4.950404344968744,0.06865569050437799,0.07334709413764336,0.0017647536471337981,0.025756756470511403
DLNR_026,8.434502064078098,0.09092120229165311,0.06196665064753513,0.0012436173322723214,0.1548410070121912
DLNR_027,5.004467479097512,0.05130879183904982,0.07679818615388466,0.0011396459886636211,0.051532470254155895
DLNR_028,5.689885746020213,0.0509357907233862,0.0780823549498315,0.00109975153752543,-0.020875193799823083
