name,U238/Pb206,s[U238/Pb206],Pb207/Pb206,s[Pb207/Pb206],rho
DLNR_001,3.019153472763239,0.045932476501123004,0.12143087118657139,0.0010081076322989676,0.28845265676895776
DLNR_002,5.093740973726492,0.060172708578953266,0.07839583565094035,0.001258688033665592,0.2583470374345046
DLNR_003,6.1311048375215655,0.0625679964076955,0.07161017615023738,0.0011604275293740525,0.3493344006377599
DLNR_004,7.799518687212249,0.10797436285944685,0.06665503746566376,0.000781766492141138,0.4429064533167145
DLNR_005,7.563174009992177,0.087331537039689,0.06904013351370866,0.0014273500565218054,0.04485857174365088
DLNR_006,8.79805209757837,0.15233733543653602,0.06503621938285634,0.0032067473656838606,0.16374902823325943
DLNR_007,1.7518055539996704,0.023586300636812284,0.20522669248719413,0.0018703272262032206,0.40796422338694105
DLNR_008,5.253876670657646,0.07197051465141549,0.07710867721008911,0.0023055506734686003,0.34788739035484983
DLNR_009,8.51175925325663,0.08558215419835298,0.06900176094156965,0.0015966650395371838,0.3461064156745983
DLNR_010,11.073127669813623,0.15838991533499672,0.058407896787374625,0.001421781392101608,-0.019813315241039322
DLNR_011,5.378979536490476,0.1394854814768621,0.07626189654492194,0.00486421172346751,0.20140866359702184
DLNR_012,2.9478186707231355,0.02935787475542675,0.11524828081473885,0.0010073370958182451,0.25362804192080773
DLNR_013,8.303301614944996,0.11374573836504002,0.06217659918824206,0.0010460887365104311,0.33818265287697336
DLNR_014,4.559933171735096,0.03955927367291531,0.08343426866272285,0.0010545405877291363,0.30605911868349905
DLNR_015,6.77089322871676,0.12269205953986448,0.07617737813713621,0.003139530130003721,0.33202849314791677
DLNR_016,7.920548282753577,0.16705198983019798,0.06477496531701626,0.004694685661264163,0.2518775633178242
DLNR_017,8.501998037188502,0.09255537414653361,0.0632740931014712,0.000911258879321885,0.20707038795766533
DLNR_018,3.5126123339380912,0.0479536679908684,0.09856114172078952,0.0010598349932334583,0.39368325555666606
DLNR_019,10.930510658122126,0.15028030667207948,0.05894902665994213,0.0014137452436892215,0.46129637717143535
DLNR_020,4.980511666153563,0.04686253663489921,0.07933198163644077,0.0007373771503104764,0.3008221311141089
DLNR_021,4.569478401248449,0.05256489693053991,0.10877167710222824,0.0010616694582701305,0.31506361095803975
DLNR_022,9.874920080366065,0.2060480873202178,0.07210879965165645,0.003708527136090227,0.31265367075999473
DLNR_023,9.207602273050455,0.12084772468875389,0.06175737499625475,0.0015683112637583344,0.10544850431799177
DLNR_024,5.059526311659367,0.06567681867576215,0.07782392541233585,0.0012103818115187567,0.22110033216835168
DLNR_025,5.01114756031606,0.07950230381322371,0.07471751093842573,0.0020020647373148125,0.14899415051952797
DLNR_026,8.405065706721377,0.1002964227652927,0.0634462492838016,0.0013443827568269504,0.08891435359714744
DLNR_027,4.950831395829724,0.07102178290973651,0.0782605137841133,0.0013017442776399799,0.03590597805719004
DLNR_028,5.659429180324508,0.06366911138483602,0.07785111060431255,0.0013665970301072036,0.08944250813472994
DLNR_029,9.952587624542968,0.184427530652127,0.06288725617036478,0.004489286552700895,0.1549700367790357
DLNR_030,4.81795437286982,0.052871305080935176,0.08080484585668012,0.001085985847524229,0.4127935183191424
DLNR_031,9.785784382264659,0.16408200496958011,0.06537599090826347,0.004452277832296076,0.3151903462792304
DLNR_032,8.844111792461469,0.08743128665718075,0.06250866894151676,0.0006668510670590453,0.151396551567526
DLNR_033,5.075091312100325,0.056751638452210935,0.07725391554782074,0.0016701596439029436,0.21865173794777906
DLNR_034,5.518419389381908,0.051332389558337806,0.0712610327100544,0.001806981664971386,0.07424970688677596
DLNR_035,5.215381298199022,0.05450453057162199,0.07741878567976272,0.0018560474527917203,0.23263794512918715
DLNR_036,5.506843079771088,0.0746020120353511,0.07528974434194903,0.00270785842377621,0.027678653776091026
DLNR_037,7.256869848490802,0.07719867182014926,0.07048816136175959,0.0019439918645339136,0.3391863132102419
DLNR_038,1.8756921187638356,0.012635377640862276,0.18362699566521112,0.0010971419967984177,0.36789818377863337
DLNR_039,6.411557200786118,0.04931594624944158,0.07023324058653325,0.0008231205727284396,-0.05192917688089316
DLNR_040,14.957974683530814,0.20826524907711746,0.05287126483416152,0.002173995926879808,0.4030210867938923
DLNR_041,3.5709391270428825,0.04187140792216732,0.09688785938844653,0.00195728967151452,0.3263812658380981
DLNR_042,5.197106659011729,0.07550749810831248,0.07891587358591728,0.0022773789842852154,0.06633898566753223
DLNR_043,5.381448105994558,0.06466945379791574,0.07565064379482639,0.0009903457451740129,0.3222194806146148
DLNR_044,6.220306972810235,0.089169720345522,0.07160659089928359,0.0018684155882355297,0.18111564067189267
DLNR_045,5.057399588361406,0.09099968250331603,0.08069876438901498,0.004592530311121157,0.4197905492474359
DLNR_046,4.912684241753781,0.049830430641774136,0.07956726058308394,0.0010271676236989118,0.1375282509914268
DLNR_047,10.487145757551872,0.11897443964911018,0.05957437240310824,0.0009439957998329937,0.2839223554609819
DLNR_048,5.707492376598295,0.0736789539814246,0.0743275537372046,0.001825573368362476,0.3735266209634844
DLNR_049,11.519863763769495,0.12422316470358565,0.0582093039847099,0.0013314069554651424,0.06964900939274382
DLNR_050,5.398870014266061,0.06562220463979103,0.07604481487980269,0.0008543814627157026,0.20633023443943113
DLNR_051,6.08736093674861,0.07543223456348999,0.07184006918712871,0.0018626256104833767,0.32030714759517465
DLNR_052,10.666772071610062,0.12416224326321341,0.05931053211351994,0.0007401816947635326,0.38867018420451654
DLNR_053,10.85209628891309,0.1335417911882232,0.059059049970187565,0.0010779257006564575,0.3439461724678493
DLNR_054,7.467203722290216,0.20915677657634754,0.0650481325189336,0.00551042885153607,0.3992140327776599
DLNR_055,8.809366449985827,0.22088823385052048,0.06260039762834914,0.003664934990993792,0.1363775890432284
DLNR_056,4.94829269419205,0.047221210456986615,0.07966876694404858,0.0011127971218846675,0.27787519802279986
DLNR_057,3.1957736979702664,0.03839221632127098,0.10739939497189854,0.0009059745158812131,0.48856487526504616
DLNR_058,9.906902876220983,0.14124368379970587,0.059865610065394634,0.0010727532562309992,0.36764228458052983
DLNR_059,5.033345496285087,0.07032428028161805,0.07834633944633548,0.0013538185506006763,0.5243363103458946
