Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	FullTextURL	RelatedURL	(name,MSWD,type,n,df)	comment
246	LE Borg, JN Connelly, M Boyet, RW Carlson	Chronological evidence that the Moon is either young or did not have a global magma ocean	2011	Nature	nature.com	https://www.nature.com/articles/nature10328	https://scholar.google.com/scholar?cites=1697281078010933556&as_sdt=2005&sciodt=0,5&hl=en	31	2024-10-15 11:01:35	246	18.92	62	4	13	… The mean squared weighted deviation (MSWD) is 1.6. … b, ε 142 Nd CHUR = +0.10 ±0.04, where CHUR is chondritic uniform reservoir (MSWD = 0.84). Sm/ 144 Nd = 0.0085 at 4,568 Myr …	https://www.nature.com/articles/nature10328	https://scholar.google.com/scholar?q=related:NHHV2iX0jRcJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(FAN 60025 Pb-Pb,1.6,isochron,4,2),(FAN 60025 Sm-Nd143,0.4,isochron,3,1),(FAN 60025 Sm-Nd142,0.84,isochron,3,1)	Pb-Pb and Sm-Nd
11	Y Yueheng, M Yang, H Wang…	Methodology for in situ wolframite U-Pb dating and its application	2021	Science China. Earth …	search.proquest.com	https://search.proquest.com/openview/eb31f10b2b469dd88bc720ee281be5d7/1?pq-origsite=gscholar&cbl=54336	https://scholar.google.com/scholar?cites=12547443793203378983&as_sdt=2005&sciodt=0,5&hl=en	32	2024-10-15 11:01:35	11	3.67	3	4	3	… The UPb age from Piaotang is 153.6±1.4 Ma (n=28, MSWD=2.0); this result is in good … =30, MSWD=1.8) which is very close to the younger group age of 131.2±1.8 Ma (n=5, MSWD=0.7) …	https://search.proquest.com/openview/eb31f10b2b469dd88bc720ee281be5d7/1?pq-origsite=gscholar&cbl=54336	https://scholar.google.com/scholar?q=related:JzsRlaZ5Ia4J:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	NA	Not a Nature paper
137	B Rasmussen, IR Fletcher, A Bekker, JR Muhling…	Deposition of 1.88-billion-year-old iron formations as a consequence of rapid crustal growth	2012	Nature	nature.com	https://www.nature.com/articles/nature11021	https://scholar.google.com/scholar?cites=6821023962642176319&as_sdt=2005&sciodt=0,5&hl=en	33	2024-10-15 11:01:35	137	11.42	27	5	12	Iron formations are chemical sedimentary rocks comprising layers of iron-rich and silica-rich minerals whose deposition requires anoxic and iron-rich (ferruginous) sea water. Their …	https://www.nature.com/articles/nature11021	https://scholar.google.com/scholar?q=related:P9m2mSclqV4J:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(lower tuff,1.5,Pb-Pb average,28,27),(middle tuff,1.3,Pb-Pb average,15,13),(upper tuff,1.1,Pb-Pb average,9,8)	Pb-Pb
156	T Chaudhuri, Y Wan, R Mazumder, M Ma, D Liu	Evidence of enriched, Hadean mantle reservoir from 4.2-4.0 Ga zircon xenocrysts from Paleoarchean TTGs of the Singhbhum Craton, Eastern India	2018	Scientific reports	nature.com	https://www.nature.com/articles/s41598-018-25494-6	https://scholar.google.com/scholar?cites=2073478164732474002&as_sdt=2005&sciodt=0,5&hl=en	34	2024-10-15 11:01:35	156	26	31	5	6	… ages of 3393 ± 9 Ma (MSWD = 1.7; n = 3) and 3399 ± 6 Ma (MSWD = 1.6; n = 6), respectively (Fig. 2E,F). Most of the dated zircons exhibit regular oscillatory zoning from core to rim (Fig. …	https://www.nature.com/articles/s41598-018-25494-6	https://scholar.google.com/scholar?q=related:knJosmd5xhwJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(RM-1,1.7,discordia,3,1),(RM-5,1.6,discordia,6,4),(TRBG-1,2.2,discordia,2,1),(TRG-2,0.57,discordia,5,3)	U-Pb, MSWD for TRBG-1 doesn’t make sense with n=2, the degrees of freedom would be zero. Changed to 1.
300	M Bizzarro, JA Baker, H Haack	Mg isotope evidence for contemporaneous formation of chondrules and refractory inclusions	2004	Nature	nature.com	https://www.nature.com/articles/nature02882	https://scholar.google.com/scholar?cites=13962463541904714433&as_sdt=2005&sciodt=0,5&hl=en	35	2024-10-15 11:01:35	300	15	100	3	20	Primitive or undifferentiated meteorites (chondrites) date back to the origin of the Solar System 1 , and thus preserve a record of the physical and chemical processes that occurred …	https://www.nature.com/articles/nature02882	https://scholar.google.com/scholar?q=related:waqSdJ2ixMEJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(Allende CAIs,1.0,Al-Mg isochron,11,9),(AB-9,0.1,Al-Mg isochron,3,1)	Al-Mg
0	YJ Jeong, MJ Jung, US Ahn, AC Cheong	Laser ablation MC-ICPMS U-Th and U-Th-Pb dating of Quaternary zircons from Jeju Island, Korea	2024	Journal of Analytical Science …	Springer	https://link.springer.com/article/10.1186/s40543-024-00427-3		36	2024-10-15 11:01:35	0	0	0	4	1	Background Laser ablation inductively coupled plasma mass spectrometry (LA-ICPMS) emerged in the mid-1980s and rapidly became a crucial dating tool. The advent of femtosecond …	https://link.springer.com/article/10.1186/s40543-024-00427-3	https://scholar.google.com/scholar?q=related:iBb6dIFPurYJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	NA	Not a Nature paper
225	JC Brannon, FA Podosek, RK McLimans	Alleghenian age of the Upper Mississippi Valley zinc–lead deposit determined by Rb–Sr dating of sphalerite	1992	Nature	nature.com	https://www.nature.com/articles/356509a0	https://scholar.google.com/scholar?cites=10824065369042383217&as_sdt=2005&sciodt=0,5&hl=en	37	2024-10-15 11:01:35	225	7.03	75	3	32	MISSISSIPPI Valley type (MVT) ore deposits in North America are generally thought to have formed from warm brines which migrated from sedimentary basins to sites of deposition in …	https://www.nature.com/articles/356509a0.pdf	https://scholar.google.com/scholar?q=related:cfFg0xrONpYJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(Zone B horizon 17,1.18,Rb-Sr isochron,10,8),(Zone C horizon 23,1.33,Rb-Sr isochron,8,6)	Rb-Sr
40	EB Sal'Nikova, SZ Yakovleva, AV Nikiforov…	Bastnaesite: a promising U-Pb geochronological tool	2010	Doklady Earth …	researchgate.net	https://www.researchgate.net/profile/A-Nikiforov-2/publication/249529867_Bastnaesite_A_promising_U-Pb_geochronological_tool/links/56b223b108aed7ba3fedbb39/Bastnaesite-A-promising-U-Pb-geochronological-tool.pdf	https://scholar.google.com/scholar?cites=15604785020847993560&as_sdt=2005&sciodt=0,5&hl=en	38	2024-10-15 11:01:35	40	2.86	10	4	14	In order to obtain the independent age estimate for siderite carbonatites, we carried out Sm–Nd geochro nological studies of bastnaesite and fluorite (Table 2, Fig. 2) from unaltered …	https://www.researchgate.net/profile/A-Nikiforov-2/publication/249529867_Bastnaesite_A_promising_U-Pb_geochronological_tool/links/56b223b108aed7ba3fedbb39/Bastnaesite-A-promising-U-Pb-geochronological-tool.pdf	https://scholar.google.com/scholar?q=related:2DL7e0xVj9gJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	NA	Not a Nature paper
180	SY Jiang, DH Pi, C Heubeck, H Frimmel, YP Liu…	Early Cambrian ocean anoxia in south China	2009	Nature	nature.com	https://www.nature.com/articles/nature08048	https://scholar.google.com/scholar?cites=10587597956204483421&as_sdt=2005&sciodt=0,5&hl=en	39	2024-10-15 11:01:35	180	12	30	6	15	… cathodoluminescence images) without inherited cores and were therefore chosen for constraining the age of crystallization (that is, 532.3 ± 0.7 Myr ago; with 1 SE error and MSWD (…	https://www.nature.com/articles/nature08048	https://scholar.google.com/scholar?q=related:XVM45D607pIJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	( Niutitang Formation,0.24,concordia,0.24,10,1)	U-Pb, not 100% clear if this is a concordia age. Made the conservative assumption that it is.
275	RD Beckinsale, SA Drury, RW Holt	3,360-Myr old gneisses from the South Indian Craton.	1980	Nature	search.ebscohost.com	https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=00280836&AN=61740634&h=O9LlcpBMW%2B1wJjqZrkFMACKgU28A8NNrol3hSF1Mvaw%2BR5tj8D2Y8RHPmOyKHQwbKewlv1s9G4pHbE0468PQ4Q%3D%3D&crl=c	https://scholar.google.com/scholar?cites=16755335598174005807&as_sdt=2005&sciodt=0,5&hl=en	40	2024-10-15 11:01:35	275	6.25	92	3	44	… The MSWD, indicating how well the points fit a line, using the 1or errors estimated from … Rejecting two samples, whose thin sections show slight epidotisation, reduces the MSWD to 1.84 …		https://scholar.google.com/scholar?q=related:L2qe9fPohugJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(Gorur-Hassan,1.84,Rb-Sr isochron,5,3)	Rb-Sr
