name,U8Pb6,s[U8Pb6],Pb86,s[Pb86],"rho[U8Pb6,Pb86]",U5Pb7,s[U5Pb7],Pb87,s[Pb87],"rho[U5Pb7,Pb87]",U48,s[U48],Pb86c,s[Pb86c],Pb87c,s[Pb87c]
SLL14-5 B_mid (1),4005,56.80378207905,0.0223,0.0004044818647675,-0.1282,597.37,14.51698674205,0.4577,0.01583,0.6789,5.5938E-05,8.9100E-08,1.4719,0.09958,2.4653,0.0158275880797
SLL14-5 C2 (1a),3904,44.3594615214,0.0430,0.000991304886987,-0.1077,500.39,7.8049323232,0.7586,0.02235,0.4742,5.5701E-05,8.6081E-08,1.4708,0.09893,2.4637,0.02235235998895
SLL14-5 C2 (1b),3920,34.31558258455,0.0437,0.0008820933234545,-0.0766,493.28,13.6645439328,0.7575,0.03051,0.8388,5.5699E-05,8.7207E-08,1.4708,0.10116,2.4637,0.03050507929995
SLL14-5 D (1a),4005,59.8563988309,0.0155,0.0005424399445535,0.0470,636.49,14.91702501735,0.3389,0.01552,0.6422,5.5549E-05,8.7069E-08,1.4710,0.10048,2.4665,0.01552130659535
SLL14-5 D (1b),3970,78.06657667245,0.0246,0.000650112798574,-0.1034,562.51,14.44497539665,0.4794,0.02415,0.7019,5.5550E-05,8.7351E-08,1.4725,0.09976,2.4644,0.02415037666925
SLL14-5 E (1a),3868,34.81980247555,0.0361,0.00131333946063,-0.2371,513.73,10.018714603125,0.6606,0.02708,0.3875,5.5510E-05,5.1404E-08,1.4708,0.10136,2.4651,0.02707659364675
SLL14-5 E (1b),3897,49.34719790875,0.0381,0.00081831716191,-0.1136,498.01,9.086905200785,0.6714,0.01726,0.3177,5.5510E-05,5.1748E-08,1.4703,0.09944,2.4647,0.01726113758755
SLL14-5 E (1c),3897,44.38033769705,0.0401,0.000925821195663,-0.0764,497.23,9.452406841915,0.7056,0.02501,0.6932,5.5510E-05,5.1022E-08,1.4714,0.10189,2.4648,0.02500958469255
SLL14-5 E (2a),3872,27.42629346655,0.0325,0.000535564194757,-0.0525,520.81,11.273727475365,0.6025,0.01967,0.8114,5.5510E-05,5.2892E-08,1.4719,0.09952,2.4650,0.01967416610805
SLL14-5 E (2b),3921,57.35098233465,0.0342,0.000727942601285,-0.2663,510.42,15.27585312505,0.6133,0.02285,0.6929,5.5509E-05,5.0517E-08,1.4704,0.10178,2.4654,0.0228510708131
SLL9-1 A1,3847,53.1562262419,0.0212,0.001159699652141,-0.1249,588.09,15.357156447,0.4469,0.03085,0.4892,5.6142E-05,7.5365E-08,1.4710,0.09924,2.4653,0.03085285472285
SLL9-1 A2,2654,40.09095532135,0.2332,0.003326246592325,-0.1352,159.30,4.125187030905,1.9286,0.06353,0.7530,5.5859E-05,7.6994E-08,1.4707,0.09973,2.4652,0.0635324032218
SB-01112 F (1),3592,67.4633675015,0.8225,0.0139072708692,0.0325,73.39,2.61273653156,2.3150,0.08773,0.7769,1.1852E-04,1.8537E-07,1.9950,0.20970,2.4196,0.08772902152855
SB-01112 F (2),3575,90.05466522885,0.8331,0.01843073356535,-0.1563,71.95,2.894712771215,2.3103,0.11399,0.7582,1.1852E-04,1.8466E-07,1.9947,0.21374,2.4199,0.113988604635
SB-01112 G,100,2.412801968365,2.0646,0.0256503680174,-0.0532,0.86,0.0282064094751,2.4281,0.08491,0.6863,,,1.9995,0.21542,2.4207,0.08491440951795
SB-01112 H-I,4934,65.11991525665,0.2579,0.004876189285975,-0.2190,316.60,8.22789484105,2.2788,0.08516,0.7483,1.2416E-04,1.5606E-07,1.9968,0.21186,2.4194,0.08516465327885
SB-01112 N,4482,69.64677590505,0.2504,0.00471206267812,-0.0074,279.55,7.629650806915,2.1516,0.08483,0.7392,1.0722E-04,3.8101E-07,1.9981,0.21537,2.4185,0.08482964221655
SB-01112 O,4075,77.65054296915,0.3537,0.005001855207225,0.0807,182.32,5.18762607396,2.1797,0.06621,0.7036,1.0515E-04,1.3229E-07,1.9942,0.21158,2.4182,0.0662064782216
SB-01112 P top,3698,62.3499205427,0.4674,0.007482069012125,0.1436,136.18,4.76417449301,2.3711,0.07295,0.7788,9.3961E-05,3.2989E-07,1.9993,0.21025,2.4191,0.07295361131535
SB-01112-Pmid,4142,37.8119883126,0.2337,0.001984488561655,-0.0037,268.28,5.494557830545,2.0850,0.04608,0.8429,9.3227E-05,1.1787E-07,1.9989,0.21483,2.4196,0.0460847484328
SB-01100 H,3892,75.01940224605,0.3309,0.00578769110038,-0.0153,187.42,4.28278309549,2.1951,0.07298,0.6079,7.6902E-05,9.7363E-08,1.9988,0.21169,2.4179,0.07297685661895
SB-01100 Z middle + z bottom (1),4595,88.1034929665,0.2023,0.00681843153218,-0.1182,306.85,20.1424513903,1.8618,0.17645,0.9257,7.3873E-05,8.9908E-08,1.9946,0.21198,2.4186,0.176451601742
SB-01100 Z middle + z bottom (2),4571,65.7166509068,0.1920,0.0030977690738,0.1753,333.36,8.453417754535,1.9287,0.06370,0.7986,7.3873E-05,9.3003E-08,1.9969,0.21491,2.4192,0.06369930138035
SB-6942 top,2129,59.3992189707,0.8637,0.008365792001425,-0.0484,42.61,1.245757308675,2.3811,0.04953,0.2978,8.7395E-05,1.0461E-07,1.9958,0.21410,2.4174,0.0495291071501
SB-6942 bottom,3064,34.7997209662,0.3241,0.002880674754805,0.0033,151.29,2.55868167439,2.2045,0.03930,0.6724,8.7626E-05,7.3735E-08,1.9949,0.21350,2.4202,0.03929709084315
